path,min,max,type
ObservationDefinition.id,0,1,http://hl7.org/fhirpath/System.String
ObservationDefinition.meta,0,1,Meta
ObservationDefinition.implicitRules,0,1,uri
ObservationDefinition.language,0,1,code
ObservationDefinition.text,0,1,Narrative
ObservationDefinition.contained,0,*,Resource
ObservationDefinition.extension,0,*,Extension
ObservationDefinition.modifierExtension,0,*,Extension
ObservationDefinition.url,0,1,uri
ObservationDefinition.identifier,0,1,Identifier
ObservationDefinition.version,0,1,string
ObservationDefinition.versionAlgorithm[x],0,1,string;Coding
ObservationDefinition.name,0,1,string
ObservationDefinition.title,0,1,string
ObservationDefinition.status,1,1,code
ObservationDefinition.experimental,0,1,boolean
ObservationDefinition.date,0,1,dateTime
ObservationDefinition.publisher,0,1,string
ObservationDefinition.contact,0,*,ContactDetail
ObservationDefinition.description,0,1,markdown
ObservationDefinition.useContext,0,*,UsageContext
ObservationDefinition.jurisdiction,0,*,CodeableConcept
ObservationDefinition.purpose,0,1,markdown
ObservationDefinition.copyright,0,1,markdown
ObservationDefinition.copyrightLabel,0,1,string
ObservationDefinition.approvalDate,0,1,date
ObservationDefinition.lastReviewDate,0,1,date
ObservationDefinition.effectivePeriod,0,1,Period
ObservationDefinition.derivedFromCanonical,0,*,canonical
ObservationDefinition.derivedFromUri,0,*,uri
ObservationDefinition.subject,0,*,CodeableConcept
ObservationDefinition.performerType,0,1,CodeableConcept
ObservationDefinition.category,0,*,CodeableConcept
ObservationDefinition.code,1,1,CodeableConcept
ObservationDefinition.permittedDataType,0,*,code
ObservationDefinition.multipleResultsAllowed,0,1,boolean
ObservationDefinition.bodySite,0,1,CodeableConcept
ObservationDefinition.method,0,1,CodeableConcept
ObservationDefinition.specimen,0,*,Reference
ObservationDefinition.device,0,*,Reference
ObservationDefinition.preferredReportName,0,1,string
ObservationDefinition.quantitativeDetails,0,1,BackboneElement
ObservationDefinition.quantitativeDetails.id,0,1,http://hl7.org/fhirpath/System.String
ObservationDefinition.quantitativeDetails.extension,0,*,Extension
ObservationDefinition.quantitativeDetails.modifierExtension,0,*,Extension
ObservationDefinition.quantitativeDetails.unit,0,1,CodeableConcept
ObservationDefinition.quantitativeDetails.customaryUnit,0,1,CodeableConcept
ObservationDefinition.quantitativeDetails.conversionFactor,0,1,decimal
ObservationDefinition.quantitativeDetails.decimalPrecision,0,1,integer
ObservationDefinition.qualifiedValue,0,*,BackboneElement
ObservationDefinition.qualifiedValue.id,0,1,http://hl7.org/fhirpath/System.String
ObservationDefinition.qualifiedValue.extension,0,*,Extension
ObservationDefinition.qualifiedValue.modifierExtension,0,*,Extension
ObservationDefinition.qualifiedValue.context,0,1,CodeableConcept
ObservationDefinition.qualifiedValue.appliesTo,0,*,CodeableConcept
ObservationDefinition.qualifiedValue.gender,0,1,code
ObservationDefinition.qualifiedValue.age,0,1,Range
ObservationDefinition.qualifiedValue.gestationalAge,0,1,Range
ObservationDefinition.qualifiedValue.condition,0,1,string
ObservationDefinition.qualifiedValue.rangeCategory,0,1,code
ObservationDefinition.qualifiedValue.range,0,1,Range
ObservationDefinition.qualifiedValue.validCodedValueSet,0,1,canonical
ObservationDefinition.qualifiedValue.normalCodedValueSet,0,1,canonical
ObservationDefinition.qualifiedValue.abnormalCodedValueSet,0,1,canonical
ObservationDefinition.qualifiedValue.criticalCodedValueSet,0,1,canonical
ObservationDefinition.hasMember,0,*,Reference
ObservationDefinition.component,0,*,BackboneElement
ObservationDefinition.component.id,0,1,http://hl7.org/fhirpath/System.String
ObservationDefinition.component.extension,0,*,Extension
ObservationDefinition.component.modifierExtension,0,*,Extension
ObservationDefinition.component.code,1,1,CodeableConcept
ObservationDefinition.component.permittedDataType,0,*,code
