path,min,max,type
OperationDefinition.id,0,1,http://hl7.org/fhirpath/System.String
OperationDefinition.meta,0,1,Meta
OperationDefinition.implicitRules,0,1,uri
OperationDefinition.language,0,1,code
OperationDefinition.text,0,1,Narrative
OperationDefinition.contained,0,*,Resource
OperationDefinition.extension,0,*,Extension
OperationDefinition.modifierExtension,0,*,Extension
OperationDefinition.url,0,1,uri
OperationDefinition.version,0,1,string
OperationDefinition.versionAlgorithm[x],0,1,string;Coding
OperationDefinition.name,1,1,string
OperationDefinition.title,0,1,string
OperationDefinition.status,1,1,code
OperationDefinition.kind,1,1,code
OperationDefinition.experimental,0,1,boolean
OperationDefinition.date,0,1,dateTime
OperationDefinition.publisher,0,1,string
OperationDefinition.contact,0,*,ContactDetail
OperationDefinition.description,0,1,markdown
OperationDefinition.useContext,0,*,UsageContext
OperationDefinition.jurisdiction,0,*,CodeableConcept
OperationDefinition.purpose,0,1,markdown
OperationDefinition.copyright,0,1,markdown
OperationDefinition.copyrightLabel,0,1,string
OperationDefinition.affectsState,0,1,boolean
OperationDefinition.code,1,1,code
OperationDefinition.comment,0,1,markdown
OperationDefinition.base,0,1,canonical
OperationDefinition.resource,0,*,code
OperationDefinition.system,1,1,boolean
OperationDefinition.type,1,1,boolean
OperationDefinition.instance,1,1,boolean
OperationDefinition.inputProfile,0,1,canonical
OperationDefinition.outputProfile,0,1,canonical
OperationDefinition.parameter,0,*,BackboneElement
OperationDefinition.parameter.id,0,1,http://hl7.org/fhirpath/System.String
OperationDefinition.parameter.extension,0,*,Extension
OperationDefinition.parameter.modifierExtension,0,*,Extension
OperationDefinition.parameter.name,1,1,code
OperationDefinition.parameter.use,1,1,code
OperationDefinition.parameter.scope,0,*,code
OperationDefinition.parameter.min,1,1,integer
OperationDefinition.parameter.max,1,1,string
OperationDefinition.parameter.documentation,0,1,markdown
OperationDefinition.parameter.type,0,1,code
OperationDefinition.parameter.allowedType,0,*,code
OperationDefinition.parameter.targetProfile,0,*,canonical
OperationDefinition.parameter.searchType,0,1,code
OperationDefinition.parameter.binding,0,1,BackboneElement
OperationDefinition.parameter.binding.id,0,1,http://hl7.org/fhirpath/System.String
OperationDefinition.parameter.binding.extension,0,*,Extension
OperationDefinition.parameter.binding.modifierExtension,0,*,Extension
OperationDefinition.parameter.binding.strength,1,1,code
OperationDefinition.parameter.binding.valueSet,1,1,canonical
OperationDefinition.parameter.referencedFrom,0,*,BackboneElement
OperationDefinition.parameter.referencedFrom.id,0,1,http://hl7.org/fhirpath/System.String
OperationDefinition.parameter.referencedFrom.extension,0,*,Extension
OperationDefinition.parameter.referencedFrom.modifierExtension,0,*,Extension
OperationDefinition.parameter.referencedFrom.source,1,1,string
OperationDefinition.parameter.referencedFrom.sourceId,0,1,string
OperationDefinition.overload,0,*,BackboneElement
OperationDefinition.overload.id,0,1,http://hl7.org/fhirpath/System.String
OperationDefinition.overload.extension,0,*,Extension
OperationDefinition.overload.modifierExtension,0,*,Extension
OperationDefinition.overload.parameterName,0,*,string
OperationDefinition.overload.comment,0,1,string
