path,min,max,type
OperationOutcome.id,0,1,http://hl7.org/fhirpath/System.String
OperationOutcome.meta,0,1,Meta
OperationOutcome.implicitRules,0,1,uri
OperationOutcome.language,0,1,code
OperationOutcome.text,0,1,Narrative
OperationOutcome.contained,0,*,Resource
OperationOutcome.extension,0,*,Extension
OperationOutcome.modifierExtension,0,*,Extension
OperationOutcome.issue,1,*,BackboneElement
OperationOutcome.issue.id,0,1,http://hl7.org/fhirpath/System.String
OperationOutcome.issue.extension,0,*,Extension
OperationOutcome.issue.modifierExtension,0,*,Extension
OperationOutcome.issue.severity,1,1,code
OperationOutcome.issue.code,1,1,code
OperationOutcome.issue.details,0,1,CodeableConcept
OperationOutcome.issue.diagnostics,0,1,string
OperationOutcome.issue.location,0,*,string
OperationOutcome.issue.expression,0,*,string
