path,min,max,type
Organization.id,0,1,http://hl7.org/fhirpath/System.String
Organization.meta,0,1,Meta
Organization.implicitRules,0,1,uri
Organization.language,0,1,code
Organization.text,0,1,Narrative
Organization.contained,0,*,Resource
Organization.extension,0,*,Extension
Organization.modifierExtension,0,*,Extension
Organization.identifier,0,*,Identifier
Organization.active,0,1,boolean
Organization.type,0,*,CodeableConcept
Organization.name,0,1,string
Organization.alias,0,*,string
Organization.description,0,1,markdown
Organization.contact,0,*,ExtendedContactDetail
Organization.partOf,0,1,Reference
Organization.endpoint,0,*,Reference
Organization.qualification,0,*,BackboneElement
Organization.qualification.id,0,1,http://hl7.org/fhirpath/System.String
Organization.qualification.extension,0,*,Extension
Organization.qualification.modifierExtension,0,*,Extension
Organization.qualification.identifier,0,*,Identifier
Organization.qualification.code,1,1,CodeableConcept
Organization.qualification.period,0,1,Period
Organization.qualification.issuer,0,1,Reference
