path,min,max,type
OrganizationAffiliation.id,0,1,http://hl7.org/fhirpath/System.String
OrganizationAffiliation.meta,0,1,Meta
OrganizationAffiliation.implicitRules,0,1,uri
OrganizationAffiliation.language,0,1,code
OrganizationAffiliation.text,0,1,Narrative
OrganizationAffiliation.contained,0,*,Resource
OrganizationAffiliation.extension,0,*,Extension
OrganizationAffiliation.modifierExtension,0,*,Extension
OrganizationAffiliation.identifier,0,*,Identifier
OrganizationAffiliation.active,0,1,boolean
OrganizationAffiliation.period,0,1,Period
OrganizationAffiliation.organization,0,1,Reference
OrganizationAffiliation.participatingOrganization,0,1,Reference
OrganizationAffiliation.network,0,*,Reference
OrganizationAffiliation.code,0,*,CodeableConcept
OrganizationAffiliation.specialty,0,*,CodeableConcept
OrganizationAffiliation.location,0,*,Reference
OrganizationAffiliation.healthcareService,0,*,Reference
OrganizationAffiliation.contact,0,*,ExtendedContactDetail
OrganizationAffiliation.endpoint,0,*,Reference
