path,min,max,type
PackagedProductDefinition.id,0,1,http://hl7.org/fhirpath/System.String
PackagedProductDefinition.meta,0,1,Meta
PackagedProductDefinition.implicitRules,0,1,uri
PackagedProductDefinition.language,0,1,code
PackagedProductDefinition.text,0,1,Narrative
PackagedProductDefinition.contained,0,*,Resource
PackagedProductDefinition.extension,0,*,Extension
PackagedProductDefinition.modifierExtension,0,*,Extension
PackagedProductDefinition.identifier,0,*,Identifier
PackagedProductDefinition.name,0,1,string
PackagedProductDefinition.type,0,1,CodeableConcept
PackagedProductDefinition.packageFor,0,*,Reference
PackagedProductDefinition.status,0,1,CodeableConcept
PackagedProductDefinition.statusDate,0,1,dateTime
PackagedProductDefinition.containedItemQuantity,0,*,Quantity
PackagedProductDefinition.description,0,1,markdown
PackagedProductDefinition.legalStatusOfSupply,0,*,BackboneElement
PackagedProductDefinition.legalStatusOfSupply.id,0,1,http://hl7.org/fhirpath/System.String
PackagedProductDefinition.legalStatusOfSupply.extension,0,*,Extension
PackagedProductDefinition.legalStatusOfSupply.modifierExtension,0,*,Extension
PackagedProductDefinition.legalStatusOfSupply.code,0,1,CodeableConcept
PackagedProductDefinition.legalStatusOfSupply.jurisdiction,0,1,CodeableConcept
PackagedProductDefinition.marketingStatus,0,*,MarketingStatus
PackagedProductDefinition.copackagedIndicator,0,1,boolean
PackagedProductDefinition.manufacturer,0,*,Reference
PackagedProductDefinition.attachedDocument,0,*,Reference
PackagedProductDefinition.packaging,0,1,BackboneElement
PackagedProductDefinition.packaging.id,0,1,http://hl7.org/fhirpath/System.String
PackagedProductDefinition.packaging.extension,0,*,Extension
PackagedProductDefinition.packaging.modifierExtension,0,*,Extension
PackagedProductDefinition.packaging.identifier,0,*,Identifier
PackagedProductDefinition.packaging.type,0,1,CodeableConcept
PackagedProductDefinition.packaging.componentPart,0,1,boolean
PackagedProductDefinition.packaging.quantity,0,1,integer
PackagedProductDefinition.packaging.material,0,*,CodeableConcept
PackagedProductDefinition.packaging.alternateMaterial,0,*,CodeableConcept
PackagedProductDefinition.packaging.shelfLifeStorage,0,*,ProductShelfLife
PackagedProductDefinition.packaging.manufacturer,0,*,Reference
PackagedProductDefinition.packaging.property,0,*,BackboneElement
PackagedProductDefinition.packaging.property.id,0,1,http://hl7.org/fhirpath/System.String
PackagedProductDefinition.packaging.property.extension,0,*,Extension
PackagedProductDefinition.packaging.property.modifierExtension,0,*,Extension
PackagedProductDefinition.packaging.property.type,1,1,CodeableConcept
PackagedProductDefinition.packaging.property.value[x],0,1,CodeableConcept;Quantity;date;boolean;Attachment
PackagedProductDefinition.packaging.containedItem,0,*,BackboneElement
PackagedProductDefinition.packaging.containedItem.id,0,1,http://hl7.org/fhirpath/System.String
PackagedProductDefinition.packaging.containedItem.extension,0,*,Extension
PackagedProductDefinition.packaging.containedItem.modifierExtension,0,*,Extension
PackagedProductDefinition.packaging.containedItem.item,1,1,CodeableReference
PackagedProductDefinition.packaging.containedItem.amount,0,1,Quantity
