path,min,max,type
Parameters.id,0,1,http://hl7.org/fhirpath/System.String
Parameters.meta,0,1,Meta
Parameters.implicitRules,0,1,uri
Parameters.language,0,1,code
Parameters.parameter,0,*,BackboneElement
Parameters.parameter.id,0,1,http://hl7.org/fhirpath/System.String
Parameters.parameter.extension,0,*,Extension
Parameters.parameter.modifierExtension,0,*,Extension
Parameters.parameter.name,1,1,string
Parameters.parameter.value[x],0,1,base64Binary;boolean;canonical;code;date;dateTime;decimal;id;instant;integer;integer64;markdown;oid;positiveInt;string;time;unsignedInt;uri;url;uuid;Address;Age;Annotation;Attachment;CodeableConcept;CodeableReference;Coding;ContactPoint;Count;Distance;Duration;HumanName;Identifier;Money;Period;Quantity;Range;Ratio;RatioRange;Reference;SampledData;Signature;Timing;ContactDetail;DataRequirement;Expression;ParameterDefinition;RelatedArtifact;TriggerDefinition;UsageContext;Availability;ExtendedContactDetail;Dosage;Meta
Parameters.parameter.resource,0,1,Resource
