path,min,max,type
Patient.id,0,1,http://hl7.org/fhirpath/System.String
Patient.meta,0,1,Meta
Patient.implicitRules,0,1,uri
Patient.language,0,1,code
Patient.text,0,1,Narrative
Patient.contained,0,*,Resource
Patient.extension,0,*,Extension
Patient.modifierExtension,0,*,Extension
Patient.identifier,0,*,Identifier
Patient.active,0,1,boolean
Patient.name,0,*,HumanName
Patient.telecom,0,*,ContactPoint
Patient.gender,0,1,code
Patient.birthDate,0,1,date
Patient.deceased[x],0,1,boolean;dateTime
Patient.address,0,*,Address
Patient.maritalStatus,0,1,CodeableConcept
Patient.multipleBirth[x],0,1,boolean;integer
Patient.photo,0,*,Attachment
Patient.contact,0,*,BackboneElement
Patient.contact.id,0,1,http://hl7.org/fhirpath/System.String
Patient.contact.extension,0,*,Extension
Patient.contact.modifierExtension,0,*,Extension
Patient.contact.relationship,0,*,CodeableConcept
Patient.contact.name,0,1,HumanName
Patient.contact.telecom,0,*,ContactPoint
Patient.contact.address,0,1,Address
Patient.contact.gender,0,1,code
Patient.contact.organization,0,1,Reference
Patient.contact.period,0,1,Period
Patient.communication,0,*,BackboneElement
Patient.communication.id,0,1,http://hl7.org/fhirpath/System.String
Patient.communication.extension,0,*,Extension
Patient.communication.modifierExtension,0,*,Extension
Patient.communication.language,1,1,CodeableConcept
Patient.communication.preferred,0,1,boolean
Patient.generalPractitioner,0,*,Reference
Patient.managingOrganization,0,1,Reference
Patient.link,0,*,BackboneElement
Patient.link.id,0,1,http://hl7.org/fhirpath/System.String
Patient.link.extension,0,*,Extension
Patient.link.modifierExtension,0,*,Extension
Patient.link.other,1,1,Reference
Patient.link.type,1,1,code
