path,min,max,type
PaymentNotice.id,0,1,http://hl7.org/fhirpath/System.String
PaymentNotice.meta,0,1,Meta
PaymentNotice.implicitRules,0,1,uri
PaymentNotice.language,0,1,code
PaymentNotice.text,0,1,Narrative
PaymentNotice.contained,0,*,Resource
PaymentNotice.extension,0,*,Extension
PaymentNotice.modifierExtension,0,*,Extension
PaymentNotice.identifier,0,*,Identifier
PaymentNotice.status,1,1,code
PaymentNotice.request,0,1,Reference
PaymentNotice.response,0,1,Reference
PaymentNotice.created,1,1,dateTime
PaymentNotice.provider,0,1,Reference
PaymentNotice.payment,1,1,Reference
PaymentNotice.paymentDate,0,1,date
PaymentNotice.payee,0,1,Reference
PaymentNotice.recipient,1,1,Reference
PaymentNotice.amount,1,1,Money
PaymentNotice.paymentStatus,0,1,CodeableConcept
