path,min,max,type
Permission.id,0,1,http://hl7.org/fhirpath/System.String
Permission.meta,0,1,Meta
Permission.implicitRules,0,1,uri
Permission.language,0,1,code
Permission.text,0,1,Narrative
Permission.contained,0,*,Resource
Permission.extension,0,*,Extension
Permission.modifierExtension,0,*,Extension
Permission.status,1,1,code
Permission.asserter,0,1,Reference
Permission.date,0,*,dateTime
Permission.validity,0,1,Period
Permission.justification,0,1,BackboneElement
Permission.justification.id,0,1,http://hl7.org/fhirpath/System.String
Permission.justification.extension,0,*,Extension
Permission.justification.modifierExtension,0,*,Extension
Permission.justification.basis,0,*,CodeableConcept
Permission.justification.evidence,0,*,Reference
Permission.combining,1,1,code
Permission.rule,0,*,BackboneElement
Permission.rule.id,0,1,http://hl7.org/fhirpath/System.String
Permission.rule.extension,0,*,Extension
Permission.rule.modifierExtension,0,*,Extension
Permission.rule.type,0,1,code
Permission.rule.data,0,*,BackboneElement
Permission.rule.data.id,0,1,http://hl7.org/fhirpath/System.String
Permission.rule.data.extension,0,*,Extension
Permission.rule.data.modifierExtension,0,*,Extension
Permission.rule.data.resource,0,*,BackboneElement
Permission.rule.data.resource.id,0,1,http://hl7.org/fhirpath/System.String
Permission.rule.data.resource.extension,0,*,Extension
Permission.rule.data.resource.modifierExtension,0,*,Extension
Permission.rule.data.resource.meaning,1,1,code
Permission.rule.data.resource.reference,1,1,Reference
Permission.rule.data.security,0,*,Coding
Permission.rule.data.period,0,*,Period
Permission.rule.data.expression,0,1,Expression
Permission.rule.activity,0,*,BackboneElement
Permission.rule.activity.id,0,1,http://hl7.org/fhirpath/System.String
Permission.rule.activity.extension,0,*,Extension
Permission.rule.activity.modifierExtension,0,*,Extension
Permission.rule.activity.actor,0,*,Reference
Permission.rule.activity.action,0,*,CodeableConcept
Permission.rule.activity.purpose,0,*,CodeableConcept
Permission.rule.limit,0,*,CodeableConcept
