path,min,max,type
Person.id,0,1,http://hl7.org/fhirpath/System.String
Person.meta,0,1,Meta
Person.implicitRules,0,1,uri
Person.language,0,1,code
Person.text,0,1,Narrative
Person.contained,0,*,Resource
Person.extension,0,*,Extension
Person.modifierExtension,0,*,Extension
Person.identifier,0,*,Identifier
Person.active,0,1,boolean
Person.name,0,*,HumanName
Person.telecom,0,*,ContactPoint
Person.gender,0,1,code
Person.birthDate,0,1,date
Person.deceased[x],0,1,boolean;dateTime
Person.address,0,*,Address
Person.maritalStatus,0,1,CodeableConcept
Person.photo,0,*,Attachment
Person.communication,0,*,BackboneElement
Person.communication.id,0,1,http://hl7.org/fhirpath/System.String
Person.communication.extension,0,*,Extension
Person.communication.modifierExtension,0,*,Extension
Person.communication.language,1,1,CodeableConcept
Person.communication.preferred,0,1,boolean
Person.managingOrganization,0,1,Reference
Person.link,0,*,BackboneElement
Person.link.id,0,1,http://hl7.org/fhirpath/System.String
Person.link.extension,0,*,Extension
Person.link.modifierExtension,0,*,Extension
Person.link.target,1,1,Reference
Person.link.assurance,0,1,code
