path,min,max,type
PlanDefinition.id,0,1,http://hl7.org/fhirpath/System.String
PlanDefinition.meta,0,1,Meta
PlanDefinition.implicitRules,0,1,uri
PlanDefinition.language,0,1,code
PlanDefinition.text,0,1,Narrative
PlanDefinition.contained,0,*,Resource
PlanDefinition.extension,0,*,Extension
PlanDefinition.modifierExtension,0,*,Extension
PlanDefinition.url,0,1,uri
PlanDefinition.identifier,0,*,Identifier
PlanDefinition.version,0,1,string
PlanDefinition.versionAlgorithm[x],0,1,string;Coding
PlanDefinition.name,0,1,string
PlanDefinition.title,0,1,string
PlanDefinition.subtitle,0,1,string
PlanDefinition.type,0,1,CodeableConcept
PlanDefinition.status,1,1,code
PlanDefinition.experimental,0,1,boolean
PlanDefinition.subject[x],0,1,CodeableConcept;Reference;canonical
PlanDefinition.date,0,1,dateTime
PlanDefinition.publisher,0,1,string
PlanDefinition.contact,0,*,ContactDetail
PlanDefinition.description,0,1,markdown
PlanDefinition.useContext,0,*,UsageContext
PlanDefinition.jurisdiction,0,*,CodeableConcept
PlanDefinition.purpose,0,1,markdown
PlanDefinition.usage,0,1,markdown
PlanDefinition.copyright,0,1,markdown
PlanDefinition.copyrightLabel,0,1,string
PlanDefinition.approvalDate,0,1,date
PlanDefinition.lastReviewDate,0,1,date
PlanDefinition.effectivePeriod,0,1,Period
PlanDefinition.topic,0,*,CodeableConcept
PlanDefinition.author,0,*,ContactDetail
PlanDefinition.editor,0,*,ContactDetail
PlanDefinition.reviewer,0,*,ContactDetail
PlanDefinition.endorser,0,*,ContactDetail
PlanDefinition.relatedArtifact,0,*,RelatedArtifact
PlanDefinition.library,0,*,canonical
PlanDefinition.goal,0,*,BackboneElement
PlanDefinition.goal.id,0,1,http://hl7.org/fhirpath/System.String
PlanDefinition.goal.extension,0,*,Extension
PlanDefinition.goal.modifierExtension,0,*,Extension
PlanDefinition.goal.category,0,1,CodeableConcept
PlanDefinition.goal.description,1,1,CodeableConcept
PlanDefinition.goal.priority,0,1,CodeableConcept
PlanDefinition.goal.start,0,1,CodeableConcept
PlanDefinition.goal.addresses,0,*,CodeableConcept
PlanDefinition.goal.documentation,0,*,RelatedArtifact
PlanDefinition.goal.target,0,*,BackboneElement
PlanDefinition.goal.target.id,0,1,http://hl7.org/fhirpath/System.String
PlanDefinition.goal.target.extension,0,*,Extension
PlanDefinition.goal.target.modifierExtension,0,*,Extension
PlanDefinition.goal.target.measure,0,1,CodeableConcept
PlanDefinition.goal.target.detail[x],0,1,Quantity;Range;CodeableConcept;string;boolean;integer;Ratio
PlanDefinition.goal.target.due,0,1,Duration
PlanDefinition.actor,0,*,BackboneElement
PlanDefinition.actor.id,0,1,http://hl7.org/fhirpath/System.String
PlanDefinition.actor.extension,0,*,Extension
PlanDefinition.actor.modifierExtension,0,*,Extension
PlanDefinition.actor.title,0,1,string
PlanDefinition.actor.description,0,1,markdown
PlanDefinition.actor.option,1,*,BackboneElement
PlanDefinition.actor.option.id,0,1,http://hl7.org/fhirpath/System.String
PlanDefinition.actor.option.extension,0,*,Extension
PlanDefinition.actor.option.modifierExtension,0,*,Extension
PlanDefinition.actor.option.type,0,1,code
PlanDefinition.actor.option.typeCanonical,0,1,canonical
PlanDefinition.actor.option.typeReference,0,1,Reference
PlanDefinition.actor.option.role,0,1,CodeableConcept
PlanDefinition.action,0,*,BackboneElement
PlanDefinition.action.id,0,1,http://hl7.org/fhirpath/System.String
PlanDefinition.action.extension,0,*,Extension
PlanDefinition.action.modifierExtension,0,*,Extension
PlanDefinition.action.linkId,0,1,string
PlanDefinition.action.prefix,0,1,string
PlanDefinition.action.title,0,1,string
PlanDefinition.action.description,0,1,markdown
PlanDefinition.action.textEquivalent,0,1,markdown
PlanDefinition.action.priority,0,1,code
PlanDefinition.action.code,0,1,CodeableConcept
PlanDefinition.action.reason,0,*,CodeableConcept
PlanDefinition.action.documentation,0,*,RelatedArtifact
PlanDefinition.action.goalId,0,*,id
PlanDefinition.action.subject[x],0,1,CodeableConcept;Reference;canonical
PlanDefinition.action.trigger,0,*,TriggerDefinition
PlanDefinition.action.condition,0,*,BackboneElement
PlanDefinition.action.condition.id,0,1,http://hl7.org/fhirpath/System.String
PlanDefinition.action.condition.extension,0,*,Extension
PlanDefinition.action.condition.modifierExtension,0,*,Extension
PlanDefinition.action.condition.kind,1,1,code
PlanDefinition.action.condition.expression,0,1,Expression
PlanDefinition.action.input,0,*,BackboneElement
PlanDefinition.action.input.id,0,1,http://hl7.org/fhirpath/System.String
PlanDefinition.action.input.extension,0,*,Extension
PlanDefinition.action.input.modifierExtension,0,*,Extension
PlanDefinition.action.input.title,0,1,string
PlanDefinition.action.input.requirement,0,1,DataRequirement
PlanDefinition.action.input.relatedData,0,1,id
PlanDefinition.action.output,0,*,BackboneElement
PlanDefinition.action.output.id,0,1,http://hl7.org/fhirpath/System.String
PlanDefinition.action.output.extension,0,*,Extension
PlanDefinition.action.output.modifierExtension,0,*,Extension
PlanDefinition.action.output.title,0,1,string
PlanDefinition.action.output.requirement,0,1,DataRequirement
PlanDefinition.action.output.relatedData,0,1,string
PlanDefinition.action.relatedAction,0,*,BackboneElement
PlanDefinition.action.relatedAction.id,0,1,http://hl7.org/fhirpath/System.String
PlanDefinition.action.relatedAction.extension,0,*,Extension
PlanDefinition.action.relatedAction.modifierExtension,0,*,Extension
PlanDefinition.action.relatedAction.targetId,1,1,id
PlanDefinition.action.relatedAction.relationship,1,1,code
PlanDefinition.action.relatedAction.endRelationship,0,1,code
PlanDefinition.action.relatedAction.offset[x],0,1,Duration;Range
PlanDefinition.action.timing[x],0,1,Age;Duration;Range;Timing
PlanDefinition.action.location,0,1,CodeableReference
PlanDefinition.action.participant,0,*,BackboneElement
PlanDefinition.action.participant.id,0,1,http://hl7.org/fhirpath/System.String
PlanDefinition.action.participant.extension,0,*,Extension
PlanDefinition.action.participant.modifierExtension,0,*,Extension
PlanDefinition.action.participant.actorId,0,1,string
PlanDefinition.action.participant.type,0,1,code
PlanDefinition.action.participant.typeCanonical,0,1,canonical
PlanDefinition.action.participant.typeReference,0,1,Reference
PlanDefinition.action.participant.role,0,1,CodeableConcept
PlanDefinition.action.participant.function,0,1,CodeableConcept
PlanDefinition.action.type,0,1,CodeableConcept
PlanDefinition.action.groupingBehavior,0,1,code
PlanDefinition.action.selectionBehavior,0,1,code
PlanDefinition.action.requiredBehavior,0,1,code
PlanDefinition.action.precheckBehavior,0,1,code
PlanDefinition.action.cardinalityBehavior,0,1,code
PlanDefinition.action.definition[x],0,1,canonical;uri
PlanDefinition.action.transform,0,1,canonical
PlanDefinition.action.dynamicValue,0,*,BackboneElement
PlanDefinition.action.dynamicValue.id,0,1,http://hl7.org/fhirpath/System.String
PlanDefinition.action.dynamicValue.extension,0,*,Extension
PlanDefinition.action.dynamicValue.modifierExtension,0,*,Extension
PlanDefinition.action.dynamicValue.path,0,1,string
PlanDefinition.action.dynamicValue.expression,0,1,Expression
PlanDefinition.asNeeded[x],0,1,boolean;CodeableConcept
