path,min,max,type
Practitioner.id,0,1,http://hl7.org/fhirpath/System.String
Practitioner.meta,0,1,Meta
Practitioner.implicitRules,0,1,uri
Practitioner.language,0,1,code
Practitioner.text,0,1,Narrative
Practitioner.contained,0,*,Resource
Practitioner.extension,0,*,Extension
Practitioner.modifierExtension,0,*,Extension
Practitioner.identifier,0,*,Identifier
Practitioner.active,0,1,boolean
Practitioner.name,0,*,HumanName
Practitioner.telecom,0,*,ContactPoint
Practitioner.gender,0,1,code
Practitioner.birthDate,0,1,date
Practitioner.deceased[x],0,1,boolean;dateTime
Practitioner.address,0,*,Address
Practitioner.photo,0,*,Attachment
Practitioner.qualification,0,*,BackboneElement
Practitioner.qualification.id,0,1,http://hl7.org/fhirpath/System.String
Practitioner.qualification.extension,0,*,Extension
Practitioner.qualification.modifierExtension,0,*,Extension
Practitioner.qualification.identifier,0,*,Identifier
Practitioner.qualification.code,1,1,CodeableConcept
Practitioner.qualification.period,0,1,Period
Practitioner.qualification.issuer,0,1,Reference
Practitioner.communication,0,*,BackboneElement
Practitioner.communication.id,0,1,http://hl7.org/fhirpath/System.String
Practitioner.communication.extension,0,*,Extension
Practitioner.communication.modifierExtension,0,*,Extension
Practitioner.communication.language,1,1,CodeableConcept
Practitioner.communication.preferred,0,1,boolean
