path,min,max,type
PractitionerRole.id,0,1,http://hl7.org/fhirpath/System.String
PractitionerRole.meta,0,1,Meta
PractitionerRole.implicitRules,0,1,uri
PractitionerRole.language,0,1,code
PractitionerRole.text,0,1,Narrative
PractitionerRole.contained,0,*,Resource
PractitionerRole.extension,0,*,Extension
PractitionerRole.modifierExtension,0,*,Extension
PractitionerRole.identifier,0,*,Identifier
PractitionerRole.active,0,1,boolean
PractitionerRole.period,0,1,Period
PractitionerRole.practitioner,0,1,Reference
PractitionerRole.organization,0,1,Reference
PractitionerRole.code,0,*,CodeableConcept
PractitionerRole.specialty,0,*,CodeableConcept
PractitionerRole.location,0,*,Reference
PractitionerRole.healthcareService,0,*,Reference
PractitionerRole.contact,0,*,ExtendedContactDetail
PractitionerRole.characteristic,0,*,CodeableConcept
PractitionerRole.communication,0,*,CodeableConcept
PractitionerRole.availability,0,*,Availability
PractitionerRole.endpoint,0,*,Reference
