path,min,max,type
Procedure.id,0,1,http://hl7.org/fhirpath/System.String
Procedure.meta,0,1,Meta
Procedure.implicitRules,0,1,uri
Procedure.language,0,1,code
Procedure.text,0,1,Narrative
Procedure.contained,0,*,Resource
Procedure.extension,0,*,Extension
Procedure.modifierExtension,0,*,Extension
Procedure.identifier,0,*,Identifier
Procedure.instantiatesCanonical,0,*,canonical
Procedure.instantiatesUri,0,*,uri
Procedure.basedOn,0,*,Reference
Procedure.partOf,0,*,Reference
Procedure.status,1,1,code
Procedure.statusReason,0,1,CodeableConcept
Procedure.category,0,*,CodeableConcept
Procedure.code,0,1,CodeableConcept
Procedure.subject,1,1,Reference
Procedure.focus,0,1,Reference
Procedure.encounter,0,1,Reference
Procedure.occurrence[x],0,1,dateTime;Period;string;Age;Range;Timing
Procedure.recorded,0,1,dateTime
Procedure.recorder,0,1,Reference
Procedure.reported[x],0,1,boolean;Reference
Procedure.performer,0,*,BackboneElement
Procedure.performer.id,0,1,http://hl7.org/fhirpath/System.String
Procedure.performer.extension,0,*,Extension
Procedure.performer.modifierExtension,0,*,Extension
Procedure.performer.function,0,1,CodeableConcept
Procedure.performer.actor,1,1,Reference
Procedure.performer.onBehalfOf,0,1,Reference
Procedure.performer.period,0,1,Period
Procedure.location,0,1,Reference
Procedure.reason,0,*,CodeableReference
Procedure.bodySite,0,*,CodeableConcept
Procedure.outcome,0,1,CodeableConcept
Procedure.report,0,*,Reference
Procedure.complication,0,*,CodeableReference
Procedure.followUp,0,*,CodeableConcept
Procedure.note,0,*,Annotation
Procedure.focalDevice,0,*,BackboneElement
Procedure.focalDevice.id,0,1,http://hl7.org/fhirpath/System.String
Procedure.focalDevice.extension,0,*,Extension
Procedure.focalDevice.modifierExtension,0,*,Extension
Procedure.focalDevice.action,0,1,CodeableConcept
Procedure.focalDevice.manipulated,1,1,Reference
Procedure.used,0,*,CodeableReference
Procedure.supportingInfo,0,*,Reference
