path,min,max,type
Provenance.id,0,1,http://hl7.org/fhirpath/System.String
Provenance.meta,0,1,Meta
Provenance.implicitRules,0,1,uri
Provenance.language,0,1,code
Provenance.text,0,1,Narrative
Provenance.contained,0,*,Resource
Provenance.extension,0,*,Extension
Provenance.modifierExtension,0,*,Extension
Provenance.target,1,*,Reference
Provenance.occurred[x],0,1,Period;dateTime
Provenance.recorded,0,1,instant
Provenance.policy,0,*,uri
Provenance.location,0,1,Reference
Provenance.authorization,0,*,CodeableReference
Provenance.activity,0,1,CodeableConcept
Provenance.basedOn,0,*,Reference
Provenance.patient,0,1,Reference
Provenance.encounter,0,1,Reference
Provenance.agent,1,*,BackboneElement
Provenance.agent.id,0,1,http://hl7.org/fhirpath/System.String
Provenance.agent.extension,0,*,Extension
Provenance.agent.modifierExtension,0,*,Extension
Provenance.agent.type,0,1,CodeableConcept
Provenance.agent.role,0,*,CodeableConcept
Provenance.agent.who,1,1,Reference
Provenance.agent.onBehalfOf,0,1,Reference
Provenance.entity,0,*,BackboneElement
Provenance.entity.id,0,1,http://hl7.org/fhirpath/System.String
Provenance.entity.extension,0,*,Extension
Provenance.entity.modifierExtension,0,*,Extension
Provenance.entity.role,1,1,code
Provenance.entity.what,1,1,Reference
Provenance.signature,0,*,Signature
