path,min,max,type
Questionnaire.id,0,1,http://hl7.org/fhirpath/System.String
Questionnaire.meta,0,1,Meta
Questionnaire.implicitRules,0,1,uri
Questionnaire.language,0,1,code
Questionnaire.text,0,1,Narrative
Questionnaire.contained,0,*,Resource
Questionnaire.extension,0,*,Extension
Questionnaire.modifierExtension,0,*,Extension
Questionnaire.url,0,1,uri
Questionnaire.identifier,0,*,Identifier
Questionnaire.version,0,1,string
Questionnaire.versionAlgorithm[x],0,1,string;Coding
Questionnaire.name,0,1,string
Questionnaire.title,0,1,string
Questionnaire.derivedFrom,0,*,canonical
Questionnaire.status,1,1,code
Questionnaire.experimental,0,1,boolean
Questionnaire.subjectType,0,*,code
Questionnaire.date,0,1,dateTime
Questionnaire.publisher,0,1,string
Questionnaire.contact,0,*,ContactDetail
Questionnaire.description,0,1,markdown
Questionnaire.useContext,0,*,UsageContext
Questionnaire.jurisdiction,0,*,CodeableConcept
Questionnaire.purpose,0,1,markdown
Questionnaire.copyright,0,1,markdown
Questionnaire.copyrightLabel,0,1,string
Questionnaire.approvalDate,0,1,date
Questionnaire.lastReviewDate,0,1,date
Questionnaire.effectivePeriod,0,1,Period
Questionnaire.code,0,*,Coding
Questionnaire.item,0,*,BackboneElement
Questionnaire.item.id,0,1,http://hl7.org/fhirpath/System.String
Questionnaire.item.extension,0,*,Extension
Questionnaire.item.modifierExtension,0,*,Extension
Questionnaire.item.linkId,1,1,string
Questionnaire.item.definition,0,1,uri
Questionnaire.item.code,0,*,Coding
Questionnaire.item.prefix,0,1,string
Questionnaire.item.text,0,1,string
Questionnaire.item.type,1,1,code
Questionnaire.item.enableWhen,0,*,BackboneElement
Questionnaire.item.enableWhen.id,0,1,http://hl7.org/fhirpath/System.String
Questionnaire.item.enableWhen.extension,0,*,Extension
Questionnaire.item.enableWhen.modifierExtension,0,*,Extension
Questionnaire.item.enableWhen.question,1,1,string
Questionnaire.item.enableWhen.operator,1,1,code
Questionnaire.item.enableWhen.answer[x],1,1,boolean;decimal;integer;date;dateTime;time;string;Coding;Quantity;Reference
Questionnaire.item.enableBehavior,0,1,code
Questionnaire.item.disabledDisplay,0,1,code
Questionnaire.item.required,0,1,boolean
Questionnaire.item.repeats,0,1,boolean
Questionnaire.item.readOnly,0,1,boolean
Questionnaire.item.maxLength,0,1,integer
Questionnaire.item.answerConstraint,0,1,code
Questionnaire.item.answerValueSet,0,1,canonical
Questionnaire.item.answerOption,0,*,BackboneElement
Questionnaire.item.answerOption.id,0,1,http://hl7.org/fhirpath/System.String
Questionnaire.item.answerOption.extension,0,*,Extension
Questionnaire.item.answerOption.modifierExtension,0,*,Extension
Questionnaire.item.answerOption.value[x],1,1,integer;date;time;string;Coding;Reference
Questionnaire.item.answerOption.initialSelected,0,1,boolean
Questionnaire.item.initial,0,*,BackboneElement
Questionnaire.item.initial.id,0,1,http://hl7.org/fhirpath/System.String
Questionnaire.item.initial.extension,0,*,Extension
Questionnaire.item.initial.modifierExtension,0,*,Extension
Questionnaire.item.initial.value[x],1,1,boolean;decimal;integer;date;dateTime;time;string;uri;Attachment;Coding;Quantity;Reference
