path,min,max,type
QuestionnaireResponse.id,0,1,http://hl7.org/fhirpath/System.String
QuestionnaireResponse.meta,0,1,Meta
QuestionnaireResponse.implicitRules,0,1,uri
QuestionnaireResponse.language,0,1,code
QuestionnaireResponse.text,0,1,Narrative
QuestionnaireResponse.contained,0,*,Resource
QuestionnaireResponse.extension,0,*,Extension
QuestionnaireResponse.modifierExtension,0,*,Extension
QuestionnaireResponse.identifier,0,*,Identifier
QuestionnaireResponse.basedOn,0,*,Reference
QuestionnaireResponse.partOf,0,*,Reference
QuestionnaireResponse.questionnaire,1,1,canonical
QuestionnaireResponse.status,1,1,code
QuestionnaireResponse.subject,0,1,Reference
QuestionnaireResponse.encounter,0,1,Reference
QuestionnaireResponse.authored,0,1,dateTime
QuestionnaireResponse.author,0,1,Reference
QuestionnaireResponse.source,0,1,Reference
QuestionnaireResponse.item,0,*,BackboneElement
QuestionnaireResponse.item.id,0,1,http://hl7.org/fhirpath/System.String
QuestionnaireResponse.item.extension,0,*,Extension
QuestionnaireResponse.item.modifierExtension,0,*,Extension
QuestionnaireResponse.item.linkId,1,1,string
QuestionnaireResponse.item.definition,0,1,uri
QuestionnaireResponse.item.text,0,1,string
QuestionnaireResponse.item.answer,0,*,BackboneElement
QuestionnaireResponse.item.answer.id,0,1,http://hl7.org/fhirpath/System.String
QuestionnaireResponse.item.answer.extension,0,*,Extension
QuestionnaireResponse.item.answer.modifierExtension,0,*,Extension
QuestionnaireResponse.item.answer.value[x],1,1,boolean;decimal;integer;date;dateTime;time;string;uri;Attachment;Coding;Quantity;Reference
