path,min,max,type
RegulatedAuthorization.id,0,1,http://hl7.org/fhirpath/System.String
RegulatedAuthorization.meta,0,1,Meta
RegulatedAuthorization.implicitRules,0,1,uri
RegulatedAuthorization.language,0,1,code
RegulatedAuthorization.text,0,1,Narrative
RegulatedAuthorization.contained,0,*,Resource
RegulatedAuthorization.extension,0,*,Extension
RegulatedAuthorization.modifierExtension,0,*,Extension
RegulatedAuthorization.identifier,0,*,Identifier
RegulatedAuthorization.subject,0,*,Reference
RegulatedAuthorization.type,0,1,CodeableConcept
RegulatedAuthorization.description,0,1,markdown
RegulatedAuthorization.region,0,*,CodeableConcept
RegulatedAuthorization.status,0,1,CodeableConcept
RegulatedAuthorization.statusDate,0,1,dateTime
RegulatedAuthorization.validityPeriod,0,1,Period
RegulatedAuthorization.indication,0,*,CodeableReference
RegulatedAuthorization.intendedUse,0,1,CodeableConcept
RegulatedAuthorization.basis,0,*,CodeableConcept
RegulatedAuthorization.holder,0,1,Reference
RegulatedAuthorization.regulator,0,1,Reference
RegulatedAuthorization.attachedDocument,0,*,Reference
RegulatedAuthorization.case,0,1,BackboneElement
RegulatedAuthorization.case.id,0,1,http://hl7.org/fhirpath/System.String
RegulatedAuthorization.case.extension,0,*,Extension
RegulatedAuthorization.case.modifierExtension,0,*,Extension
RegulatedAuthorization.case.identifier,0,1,Identifier
RegulatedAuthorization.case.type,0,1,CodeableConcept
RegulatedAuthorization.case.status,0,1,CodeableConcept
RegulatedAuthorization.case.date[x],0,1,Period;dateTime
