path,min,max,type
RelatedPerson.id,0,1,http://hl7.org/fhirpath/System.String
RelatedPerson.meta,0,1,Meta
RelatedPerson.implicitRules,0,1,uri
RelatedPerson.language,0,1,code
RelatedPerson.text,0,1,Narrative
RelatedPerson.contained,0,*,Resource
RelatedPerson.extension,0,*,Extension
RelatedPerson.modifierExtension,0,*,Extension
RelatedPerson.identifier,0,*,Identifier
RelatedPerson.active,0,1,boolean
RelatedPerson.patient,1,1,Reference
RelatedPerson.relationship,0,*,CodeableConcept
RelatedPerson.name,0,*,HumanName
RelatedPerson.telecom,0,*,ContactPoint
RelatedPerson.gender,0,1,code
RelatedPerson.birthDate,0,1,date
RelatedPerson.address,0,*,Address
RelatedPerson.photo,0,*,Attachment
RelatedPerson.period,0,1,Period
RelatedPerson.communication,0,*,BackboneElement
RelatedPerson.communication.id,0,1,http://hl7.org/fhirpath/System.String
RelatedPerson.communication.extension,0,*,Extension
RelatedPerson.communication.modifierExtension,0,*,Extension
RelatedPerson.communication.language,1,1,CodeableConcept
RelatedPerson.communication.preferred,0,1,boolean
