path,min,max,type
RequestOrchestration.id,0,1,http://hl7.org/fhirpath/System.String
RequestOrchestration.meta,0,1,Meta
RequestOrchestration.implicitRules,0,1,uri
RequestOrchestration.language,0,1,code
RequestOrchestration.text,0,1,Narrative
RequestOrchestration.contained,0,*,Resource
RequestOrchestration.extension,0,*,Extension
RequestOrchestration.modifierExtension,0,*,Extension
RequestOrchestration.identifier,0,*,Identifier
RequestOrchestration.instantiatesCanonical,0,*,canonical
RequestOrchestration.instantiatesUri,0,*,uri
RequestOrchestration.basedOn,0,*,Reference
RequestOrchestration.replaces,0,*,Reference
RequestOrchestration.groupIdentifier,0,1,Identifier
RequestOrchestration.status,1,1,code
RequestOrchestration.intent,1,1,code
RequestOrchestration.priority,0,1,code
RequestOrchestration.code,0,1,CodeableConcept
RequestOrchestration.subject,0,1,Reference
RequestOrchestration.encounter,0,1,Reference
RequestOrchestration.authoredOn,0,1,dateTime
RequestOrchestration.author,0,1,Reference
RequestOrchestration.reason,0,*,CodeableReference
RequestOrchestration.goal,0,*,Reference
RequestOrchestration.note,0,*,Annotation
RequestOrchestration.action,0,*,BackboneElement
RequestOrchestration.action.id,0,1,http://hl7.org/fhirpath/System.String
RequestOrchestration.action.extension,0,*,Extension
RequestOrchestration.action.modifierExtension,0,*,Extension
RequestOrchestration.action.linkId,0,1,string
RequestOrchestration.action.prefix,0,1,string
RequestOrchestration.action.title,0,1,string
RequestOrchestration.action.description,0,1,markdown
RequestOrchestration.action.textEquivalent,0,1,markdown
RequestOrchestration.action.priority,0,1,code
RequestOrchestration.action.code,0,*,CodeableConcept
RequestOrchestration.action.documentation,0,*,RelatedArtifact
RequestOrchestration.action.goal,0,*,Reference
RequestOrchestration.action.condition,0,*,BackboneElement
RequestOrchestration.action.condition.id,0,1,http://hl7.org/fhirpath/System.String
RequestOrchestration.action.condition.extension,0,*,Extension
RequestOrchestration.action.condition.modifierExtension,0,*,Extension
RequestOrchestration.action.condition.kind,1,1,code
RequestOrchestration.action.condition.expression,0,1,Expression
RequestOrchestration.action.input,0,*,BackboneElement
RequestOrchestration.action.input.id,0,1,http://hl7.org/fhirpath/System.String
RequestOrchestration.action.input.extension,0,*,Extension
RequestOrchestration.action.input.modifierExtension,0,*,Extension
RequestOrchestration.action.input.title,0,1,string
RequestOrchestration.action.input.requirement,0,1,DataRequirement
RequestOrchestration.action.input.relatedData,0,1,id
RequestOrchestration.action.output,0,*,BackboneElement
RequestOrchestration.action.output.id,0,1,http://hl7.org/fhirpath/System.String
RequestOrchestration.action.output.extension,0,*,Extension
RequestOrchestration.action.output.modifierExtension,0,*,Extension
RequestOrchestration.action.output.title,0,1,string
RequestOrchestration.action.output.requirement,0,1,DataRequirement
RequestOrchestration.action.output.relatedData,0,1,string
RequestOrchestration.action.relatedAction,0,*,BackboneElement
RequestOrchestration.action.relatedAction.id,0,1,http://hl7.org/fhirpath/System.String
RequestOrchestration.action.relatedAction.extension,0,*,Extension
RequestOrchestration.action.relatedAction.modifierExtension,0,*,Extension
RequestOrchestration.action.relatedAction.targetId,1,1,id
RequestOrchestration.action.relatedAction.relationship,1,1,code
RequestOrchestration.action.relatedAction.endRelationship,0,1,code
RequestOrchestration.action.relatedAction.offset[x],0,1,Duration;Range
RequestOrchestration.action.timing[x],0,1,dateTime;Age;Period;Duration;Range;Timing
RequestOrchestration.action.location,0,1,CodeableReference
RequestOrchestration.action.participant,0,*,BackboneElement
RequestOrchestration.action.participant.id,0,1,http://hl7.org/fhirpath/System.String
RequestOrchestration.action.participant.extension,0,*,Extension
RequestOrchestration.action.participant.modifierExtension,0,*,Extension
RequestOrchestration.action.participant.type,0,1,code
RequestOrchestration.action.participant.typeCanonical,0,1,canonical
RequestOrchestration.action.participant.typeReference,0,1,Reference
RequestOrchestration.action.participant.role,0,1,CodeableConcept
RequestOrchestration.action.participant.function,0,1,CodeableConcept
RequestOrchestration.action.participant.actor[x],0,1,canonical;Reference
RequestOrchestration.action.type,0,1,CodeableConcept
RequestOrchestration.action.groupingBehavior,0,1,code
RequestOrchestration.action.selectionBehavior,0,1,code
RequestOrchestration.action.requiredBehavior,0,1,code
RequestOrchestration.action.precheckBehavior,0,1,code
RequestOrchestration.action.cardinalityBehavior,0,1,code
RequestOrchestration.action.resource,0,1,Reference
RequestOrchestration.action.definition[x],0,1,canonical;uri
RequestOrchestration.action.transform,0,1,canonical
RequestOrchestration.action.dynamicValue,0,*,BackboneElement
RequestOrchestration.action.dynamicValue.id,0,1,http://hl7.org/fhirpath/System.String
RequestOrchestration.action.dynamicValue.extension,0,*,Extension
RequestOrchestration.action.dynamicValue.modifierExtension,0,*,Extension
RequestOrchestration.action.dynamicValue.path,0,1,string
RequestOrchestration.action.dynamicValue.expression,0,1,Expression
