path,min,max,type
Requirements.id,0,1,http://hl7.org/fhirpath/System.String
Requirements.meta,0,1,Meta
Requirements.implicitRules,0,1,uri
Requirements.language,0,1,code
Requirements.text,0,1,Narrative
Requirements.contained,0,*,Resource
Requirements.extension,0,*,Extension
Requirements.modifierExtension,0,*,Extension
Requirements.url,0,1,uri
Requirements.identifier,0,*,Identifier
Requirements.version,0,1,string
Requirements.name,0,1,string
Requirements.title,0,1,string
Requirements.status,1,1,code
Requirements.experimental,0,1,boolean
Requirements.date,0,1,dateTime
Requirements.publisher,0,1,string
Requirements.contact,0,*,ContactDetail
Requirements.description,0,1,markdown
Requirements.useContext,0,*,UsageContext
Requirements.jurisdiction,0,*,CodeableConcept
Requirements.purpose,0,1,markdown
Requirements.copyright,0,1,markdown
Requirements.copyrightLabel,0,1,string
Requirements.derivedFrom,0,*,canonical
Requirements.actor,0,*,canonical
Requirements.statement,0,*,BackboneElement
Requirements.statement.id,0,1,http://hl7.org/fhirpath/System.String
Requirements.statement.extension,0,*,Extension
Requirements.statement.modifierExtension,0,*,Extension
Requirements.statement.key,1,1,id
Requirements.statement.label,0,1,string
Requirements.statement.conformance,0,*,code
Requirements.statement.conditionality,0,1,boolean
Requirements.statement.requirement,1,1,markdown
Requirements.statement.derivedFrom,0,1,string
Requirements.statement.parent,0,1,string
Requirements.statement.satisfiedBy,0,*,url
Requirements.statement.reference,0,*,url
Requirements.statement.source,0,*,Reference
