path,min,max,type
ResearchStudy.id,0,1,http://hl7.org/fhirpath/System.String
ResearchStudy.meta,0,1,Meta
ResearchStudy.implicitRules,0,1,uri
ResearchStudy.language,0,1,code
ResearchStudy.text,0,1,Narrative
ResearchStudy.contained,0,*,Resource
ResearchStudy.extension,0,*,Extension
ResearchStudy.modifierExtension,0,*,Extension
ResearchStudy.url,0,1,uri
ResearchStudy.identifier,0,*,Identifier
ResearchStudy.version,0,1,string
ResearchStudy.name,0,1,string
ResearchStudy.title,0,1,string
ResearchStudy.label,0,*,BackboneElement
ResearchStudy.label.id,0,1,http://hl7.org/fhirpath/System.String
ResearchStudy.label.extension,0,*,Extension
ResearchStudy.label.modifierExtension,0,*,Extension
ResearchStudy.label.type,0,1,CodeableConcept
ResearchStudy.label.value,0,1,string
ResearchStudy.protocol,0,*,Reference
ResearchStudy.partOf,0,*,Reference
ResearchStudy.relatedArtifact,0,*,RelatedArtifact
ResearchStudy.date,0,1,dateTime
ResearchStudy.status,1,1,code
ResearchStudy.primaryPurposeType,0,1,CodeableConcept
ResearchStudy.phase,0,1,CodeableConcept
ResearchStudy.studyDesign,0,*,CodeableConcept
ResearchStudy.focus,0,*,CodeableReference
ResearchStudy.condition,0,*,CodeableConcept
ResearchStudy.keyword,0,*,CodeableConcept
ResearchStudy.region,0,*,CodeableConcept
ResearchStudy.descriptionSummary,0,1,markdown
ResearchStudy.description,0,1,markdown
ResearchStudy.period,0,1,Period
ResearchStudy.site,0,*,Reference
ResearchStudy.note,0,*,Annotation
ResearchStudy.classifier,0,*,CodeableConcept
ResearchStudy.associatedParty,0,*,BackboneElement
ResearchStudy.associatedParty.id,0,1,http://hl7.org/fhirpath/System.String
ResearchStudy.associatedParty.extension,0,*,Extension
ResearchStudy.associatedParty.modifierExtension,0,*,Extension
ResearchStudy.associatedParty.name,0,1,string
ResearchStudy.associatedParty.role,1,1,CodeableConcept
ResearchStudy.associatedParty.period,0,*,Period
ResearchStudy.associatedParty.classifier,0,*,CodeableConcept
ResearchStudy.associatedParty.party,0,1,Reference
ResearchStudy.progressStatus,0,*,BackboneElement
ResearchStudy.progressStatus.id,0,1,http://hl7.org/fhirpath/System.String
ResearchStudy.progressStatus.extension,0,*,Extension
ResearchStudy.progressStatus.modifierExtension,0,*,Extension
ResearchStudy.progressStatus.state,1,1,CodeableConcept
ResearchStudy.progressStatus.actual,0,1,boolean
ResearchStudy.progressStatus.period,0,1,Period
ResearchStudy.whyStopped,0,1,CodeableConcept
ResearchStudy.recruitment,0,1,BackboneElement
ResearchStudy.recruitment.id,0,1,http://hl7.org/fhirpath/System.String
ResearchStudy.recruitment.extension,0,*,Extension
ResearchStudy.recruitment.modifierExtension,0,*,Extension
ResearchStudy.recruitment.targetNumber,0,1,unsignedInt
ResearchStudy.recruitment.actualNumber,0,1,unsignedInt
ResearchStudy.recruitment.eligibility,0,1,Reference
ResearchStudy.recruitment.actualGroup,0,1,Reference
ResearchStudy.comparisonGroup,0,*,BackboneElement
ResearchStudy.comparisonGroup.id,0,1,http://hl7.org/fhirpath/System.String
ResearchStudy.comparisonGroup.extension,0,*,Extension
ResearchStudy.comparisonGroup.modifierExtension,0,*,Extension
ResearchStudy.comparisonGroup.linkId,0,1,id
ResearchStudy.comparisonGroup.name,1,1,string
ResearchStudy.comparisonGroup.type,0,1,CodeableConcept
ResearchStudy.comparisonGroup.description,0,1,markdown
ResearchStudy.comparisonGroup.intendedExposure,0,*,Reference
ResearchStudy.comparisonGroup.observedGroup,0,1,Reference
ResearchStudy.objective,0,*,BackboneElement
ResearchStudy.objective.id,0,1,http://hl7.org/fhirpath/System.String
ResearchStudy.objective.extension,0,*,Extension
ResearchStudy.objective.modifierExtension,0,*,Extension
ResearchStudy.objective.name,0,1,string
ResearchStudy.objective.type,0,1,CodeableConcept
ResearchStudy.objective.description,0,1,markdown
ResearchStudy.outcomeMeasure,0,*,BackboneElement
ResearchStudy.outcomeMeasure.id,0,1,http://hl7.org/fhirpath/System.String
ResearchStudy.outcomeMeasure.extension,0,*,Extension
ResearchStudy.outcomeMeasure.modifierExtension,0,*,Extension
ResearchStudy.outcomeMeasure.name,0,1,string
ResearchStudy.outcomeMeasure.type,0,*,CodeableConcept
ResearchStudy.outcomeMeasure.description,0,1,markdown
ResearchStudy.outcomeMeasure.reference,0,1,Reference
ResearchStudy.result,0,*,Reference
