path,min,max,type
ResearchSubject.id,0,1,http://hl7.org/fhirpath/System.String
ResearchSubject.meta,0,1,Meta
ResearchSubject.implicitRules,0,1,uri
ResearchSubject.language,0,1,code
ResearchSubject.text,0,1,Narrative
ResearchSubject.contained,0,*,Resource
ResearchSubject.extension,0,*,Extension
ResearchSubject.modifierExtension,0,*,Extension
ResearchSubject.identifier,0,*,Identifier
ResearchSubject.status,1,1,code
ResearchSubject.progress,0,*,BackboneElement
ResearchSubject.progress.id,0,1,http://hl7.org/fhirpath/System.String
ResearchSubject.progress.extension,0,*,Extension
ResearchSubject.progress.modifierExtension,0,*,Extension
ResearchSubject.progress.type,0,1,CodeableConcept
ResearchSubject.progress.subjectState,0,1,CodeableConcept
ResearchSubject.progress.milestone,0,1,CodeableConcept
ResearchSubject.progress.reason,0,1,CodeableConcept
ResearchSubject.progress.startDate,0,1,dateTime
ResearchSubject.progress.endDate,0,1,dateTime
ResearchSubject.period,0,1,Period
ResearchSubject.study,1,1,Reference
ResearchSubject.subject,1,1,Reference
ResearchSubject.assignedComparisonGroup,0,1,id
ResearchSubject.actualComparisonGroup,0,1,id
ResearchSubject.consent,0,*,Reference
