path,min,max,type
RiskAssessment.id,0,1,http://hl7.org/fhirpath/System.String
RiskAssessment.meta,0,1,Meta
RiskAssessment.implicitRules,0,1,uri
RiskAssessment.language,0,1,code
RiskAssessment.text,0,1,Narrative
RiskAssessment.contained,0,*,Resource
RiskAssessment.extension,0,*,Extension
RiskAssessment.modifierExtension,0,*,Extension
RiskAssessment.identifier,0,*,Identifier
RiskAssessment.basedOn,0,1,Reference
RiskAssessment.parent,0,1,Reference
RiskAssessment.status,1,1,code
RiskAssessment.method,0,1,CodeableConcept
RiskAssessment.code,0,1,CodeableConcept
RiskAssessment.subject,1,1,Reference
RiskAssessment.encounter,0,1,Reference
RiskAssessment.occurrence[x],0,1,dateTime;Period
RiskAssessment.condition,0,1,Reference
RiskAssessment.performer,0,1,Reference
RiskAssessment.reason,0,*,CodeableReference
RiskAssessment.basis,0,*,Reference
RiskAssessment.prediction,0,*,BackboneElement
RiskAssessment.prediction.id,0,1,http://hl7.org/fhirpath/System.String
RiskAssessment.prediction.extension,0,*,Extension
RiskAssessment.prediction.modifierExtension,0,*,Extension
RiskAssessment.prediction.outcome,0,1,CodeableConcept
RiskAssessment.prediction.probability[x],0,1,decimal;Range
RiskAssessment.prediction.qualitativeRisk,0,1,CodeableConcept
RiskAssessment.prediction.relativeRisk,0,1,decimal
RiskAssessment.prediction.when[x],0,1,Period;Range
RiskAssessment.prediction.rationale,0,1,string
RiskAssessment.mitigation,0,1,string
RiskAssessment.note,0,*,Annotation
