path,min,max,type
Schedule.id,0,1,http://hl7.org/fhirpath/System.String
Schedule.meta,0,1,Meta
Schedule.implicitRules,0,1,uri
Schedule.language,0,1,code
Schedule.text,0,1,Narrative
Schedule.contained,0,*,Resource
Schedule.extension,0,*,Extension
Schedule.modifierExtension,0,*,Extension
Schedule.identifier,0,*,Identifier
Schedule.active,0,1,boolean
Schedule.serviceCategory,0,*,CodeableConcept
Schedule.serviceType,0,*,CodeableReference
Schedule.specialty,0,*,CodeableConcept
Schedule.name,0,1,string
Schedule.actor,1,*,Reference
Schedule.planningHorizon,0,1,Period
Schedule.comment,0,1,markdown
