path,min,max,type
SearchParameter.id,0,1,http://hl7.org/fhirpath/System.String
SearchParameter.meta,0,1,Meta
SearchParameter.implicitRules,0,1,uri
SearchParameter.language,0,1,code
SearchParameter.text,0,1,Narrative
SearchParameter.contained,0,*,Resource
SearchParameter.extension,0,*,Extension
SearchParameter.modifierExtension,0,*,Extension
SearchParameter.url,1,1,uri
SearchParameter.version,0,1,string
SearchParameter.versionAlgorithm[x],0,1,string;Coding
SearchParameter.name,1,1,string
SearchParameter.title,0,1,string
SearchParameter.derivedFrom,0,1,canonical
SearchParameter.status,1,1,code
SearchParameter.experimental,0,1,boolean
SearchParameter.date,0,1,dateTime
SearchParameter.publisher,0,1,string
SearchParameter.contact,0,*,ContactDetail
SearchParameter.description,1,1,markdown
SearchParameter.useContext,0,*,UsageContext
SearchParameter.jurisdiction,0,*,CodeableConcept
SearchParameter.purpose,0,1,markdown
SearchParameter.code,1,1,code
SearchParameter.base,1,*,code
SearchParameter.type,1,1,code
SearchParameter.expression,0,1,string
SearchParameter.processingMode,0,1,code
SearchParameter.constraint,0,1,string
SearchParameter.target,0,*,code
SearchParameter.multipleOr,0,1,boolean
SearchParameter.multipleAnd,0,1,boolean
SearchParameter.comparator,0,*,code
SearchParameter.modifier,0,*,code
SearchParameter.chain,0,*,string
SearchParameter.component,0,*,BackboneElement
SearchParameter.component.id,0,1,http://hl7.org/fhirpath/System.String
SearchParameter.component.extension,0,*,Extension
SearchParameter.component.modifierExtension,0,*,Extension
SearchParameter.component.definition,1,1,canonical
SearchParameter.component.expression,1,1,string
