path,min,max,type
ServiceRequest.id,0,1,http://hl7.org/fhirpath/System.String
ServiceRequest.meta,0,1,Meta
ServiceRequest.implicitRules,0,1,uri
ServiceRequest.language,0,1,code
ServiceRequest.text,0,1,Narrative
ServiceRequest.contained,0,*,Resource
ServiceRequest.extension,0,*,Extension
ServiceRequest.modifierExtension,0,*,Extension
ServiceRequest.identifier,0,*,Identifier
ServiceRequest.instantiatesCanonical,0,*,canonical
ServiceRequest.instantiatesUri,0,*,uri
ServiceRequest.basedOn,0,*,Reference
ServiceRequest.replaces,0,*,Reference
ServiceRequest.requisition,0,1,Identifier
ServiceRequest.status,1,1,code
ServiceRequest.intent,1,1,code
ServiceRequest.category,0,*,CodeableConcept
ServiceRequest.priority,0,1,code
ServiceRequest.doNotPerform,0,1,boolean
ServiceRequest.code,0,1,CodeableReference
ServiceRequest.orderDetail,0,*,CodeableConcept
ServiceRequest.quantity[x],0,1,Quantity;Ratio;Range
ServiceRequest.subject,1,1,Reference
ServiceRequest.focus,0,*,Reference
ServiceRequest.encounter,0,1,Reference
ServiceRequest.occurrence[x],0,1,dateTime;Period;Timing
ServiceRequest.asNeeded[x],0,1,boolean;CodeableConcept
ServiceRequest.authoredOn,0,1,dateTime
ServiceRequest.requester,0,1,Reference
ServiceRequest.performerType,0,1,CodeableConcept
ServiceRequest.performer,0,*,Reference
ServiceRequest.location,0,*,CodeableReference
ServiceRequest.reason,0,*,CodeableReference
ServiceRequest.insurance,0,*,Reference
ServiceRequest.supportingInfo,0,*,CodeableReference
ServiceRequest.specimen,0,*,Reference
ServiceRequest.bodySite,0,*,CodeableConcept
ServiceRequest.bodyStructure,0,1,Reference
ServiceRequest.note,0,*,Annotation
ServiceRequest.patientInstruction,0,*,BackboneElement
ServiceRequest.patientInstruction.id,0,1,http://hl7.org/fhirpath/System.String
ServiceRequest.patientInstruction.extension,0,*,Extension
ServiceRequest.patientInstruction.modifierExtension,0,*,Extension
ServiceRequest.patientInstruction.instruction[x],0,1,markdown;Reference
ServiceRequest.relevantHistory,0,*,Reference
