path,min,max,type
Slot.id,0,1,http://hl7.org/fhirpath/System.String
Slot.meta,0,1,Meta
Slot.implicitRules,0,1,uri
Slot.language,0,1,code
Slot.text,0,1,Narrative
Slot.contained,0,*,Resource
Slot.extension,0,*,Extension
Slot.modifierExtension,0,*,Extension
Slot.identifier,0,*,Identifier
Slot.serviceCategory,0,*,CodeableConcept
Slot.serviceType,0,*,CodeableReference
Slot.specialty,0,*,CodeableConcept
Slot.appointmentType,0,*,CodeableConcept
Slot.schedule,1,1,Reference
Slot.status,1,1,code
Slot.start,1,1,instant
Slot.end,1,1,instant
Slot.overbooked,0,1,boolean
Slot.comment,0,1,string
