path,min,max,type
Specimen.id,0,1,http://hl7.org/fhirpath/System.String
Specimen.meta,0,1,Meta
Specimen.implicitRules,0,1,uri
Specimen.language,0,1,code
Specimen.text,0,1,Narrative
Specimen.contained,0,*,Resource
Specimen.extension,0,*,Extension
Specimen.modifierExtension,0,*,Extension
Specimen.identifier,0,*,Identifier
Specimen.accessionIdentifier,0,1,Identifier
Specimen.status,0,1,code
Specimen.type,0,1,CodeableConcept
Specimen.subject,0,1,Reference
Specimen.receivedTime,0,1,dateTime
Specimen.parent,0,*,Reference
Specimen.request,0,*,Reference
Specimen.combined,0,1,code
Specimen.role,0,*,CodeableConcept
Specimen.feature,0,*,BackboneElement
Specimen.feature.id,0,1,http://hl7.org/fhirpath/System.String
Specimen.feature.extension,0,*,Extension
Specimen.feature.modifierExtension,0,*,Extension
Specimen.feature.type,1,1,CodeableConcept
Specimen.feature.description,1,1,string
Specimen.collection,0,1,BackboneElement
Specimen.collection.id,0,1,http://hl7.org/fhirpath/System.String
Specimen.collection.extension,0,*,Extension
Specimen.collection.modifierExtension,0,*,Extension
Specimen.collection.collector,0,1,Reference
Specimen.collection.collected[x],0,1,dateTime;Period
Specimen.collection.duration,0,1,Duration
Specimen.collection.quantity,0,1,Quantity
Specimen.collection.method,0,1,CodeableConcept
Specimen.collection.device,0,1,CodeableReference
Specimen.collection.procedure,0,1,Reference
Specimen.collection.bodySite,0,1,CodeableReference
Specimen.collection.fastingStatus[x],0,1,CodeableConcept;Duration
Specimen.processing,0,*,BackboneElement
Specimen.processing.id,0,1,http://hl7.org/fhirpath/System.String
Specimen.processing.extension,0,*,Extension
Specimen.processing.modifierExtension,0,*,Extension
Specimen.processing.description,0,1,string
Specimen.processing.method,0,1,CodeableConcept
Specimen.processing.additive,0,*,Reference
Specimen.processing.time[x],0,1,dateTime;Period
Specimen.container,0,*,BackboneElement
Specimen.container.id,0,1,http://hl7.org/fhirpath/System.String
Specimen.container.extension,0,*,Extension
Specimen.container.modifierExtension,0,*,Extension
Specimen.container.device,1,1,Reference
Specimen.container.location,0,1,Reference
Specimen.container.specimenQuantity,0,1,Quantity
Specimen.condition,0,*,CodeableConcept
Specimen.note,0,*,Annotation
