path,min,max,type
SpecimenDefinition.id,0,1,http://hl7.org/fhirpath/System.String
SpecimenDefinition.meta,0,1,Meta
SpecimenDefinition.implicitRules,0,1,uri
SpecimenDefinition.language,0,1,code
SpecimenDefinition.text,0,1,Narrative
SpecimenDefinition.contained,0,*,Resource
SpecimenDefinition.extension,0,*,Extension
SpecimenDefinition.modifierExtension,0,*,Extension
SpecimenDefinition.url,0,1,uri
SpecimenDefinition.identifier,0,1,Identifier
SpecimenDefinition.version,0,1,string
SpecimenDefinition.versionAlgorithm[x],0,1,string;Coding
SpecimenDefinition.name,0,1,string
SpecimenDefinition.title,0,1,string
SpecimenDefinition.derivedFromCanonical,0,*,canonical
SpecimenDefinition.derivedFromUri,0,*,uri
SpecimenDefinition.status,1,1,code
SpecimenDefinition.experimental,0,1,boolean
SpecimenDefinition.subject[x],0,1,CodeableConcept;Reference
SpecimenDefinition.date,0,1,dateTime
SpecimenDefinition.publisher,0,1,string
SpecimenDefinition.contact,0,*,ContactDetail
SpecimenDefinition.description,0,1,markdown
SpecimenDefinition.useContext,0,*,UsageContext
SpecimenDefinition.jurisdiction,0,*,CodeableConcept
SpecimenDefinition.purpose,0,1,markdown
SpecimenDefinition.copyright,0,1,markdown
SpecimenDefinition.copyrightLabel,0,1,string
SpecimenDefinition.approvalDate,0,1,date
SpecimenDefinition.lastReviewDate,0,1,date
SpecimenDefinition.effectivePeriod,0,1,Period
SpecimenDefinition.typeCollected,0,1,CodeableConcept
SpecimenDefinition.patientPreparation,0,*,CodeableConcept
SpecimenDefinition.timeAspect,0,1,string
SpecimenDefinition.collection,0,*,CodeableConcept
SpecimenDefinition.typeTested,0,*,BackboneElement
SpecimenDefinition.typeTested.id,0,1,http://hl7.org/fhirpath/System.String
SpecimenDefinition.typeTested.extension,0,*,Extension
SpecimenDefinition.typeTested.modifierExtension,0,*,Extension
SpecimenDefinition.typeTested.isDerived,0,1,boolean
SpecimenDefinition.typeTested.type,0,1,CodeableConcept
SpecimenDefinition.typeTested.preference,1,1,code
SpecimenDefinition.typeTested.container,0,1,BackboneElement
SpecimenDefinition.typeTested.container.id,0,1,http://hl7.org/fhirpath/System.String
SpecimenDefinition.typeTested.container.extension,0,*,Extension
SpecimenDefinition.typeTested.container.modifierExtension,0,*,Extension
SpecimenDefinition.typeTested.container.material,0,1,CodeableConcept
SpecimenDefinition.typeTested.container.type,0,1,CodeableConcept
SpecimenDefinition.typeTested.container.cap,0,1,CodeableConcept
SpecimenDefinition.typeTested.container.description,0,1,markdown
SpecimenDefinition.typeTested.container.capacity,0,1,Quantity
SpecimenDefinition.typeTested.container.minimumVolume[x],0,1,Quantity;string
SpecimenDefinition.typeTested.container.additive,0,*,BackboneElement
SpecimenDefinition.typeTested.container.additive.id,0,1,http://hl7.org/fhirpath/System.String
SpecimenDefinition.typeTested.container.additive.extension,0,*,Extension
SpecimenDefinition.typeTested.container.additive.modifierExtension,0,*,Extension
SpecimenDefinition.typeTested.container.additive.additive[x],1,1,CodeableConcept;Reference
SpecimenDefinition.typeTested.container.preparation,0,1,markdown
SpecimenDefinition.typeTested.requirement,0,1,markdown
SpecimenDefinition.typeTested.retentionTime,0,1,Duration
SpecimenDefinition.typeTested.singleUse,0,1,boolean
SpecimenDefinition.typeTested.rejectionCriterion,0,*,CodeableConcept
SpecimenDefinition.typeTested.handling,0,*,BackboneElement
SpecimenDefinition.typeTested.handling.id,0,1,http://hl7.org/fhirpath/System.String
SpecimenDefinition.typeTested.handling.extension,0,*,Extension
SpecimenDefinition.typeTested.handling.modifierExtension,0,*,Extension
SpecimenDefinition.typeTested.handling.temperatureQualifier,0,1,CodeableConcept
SpecimenDefinition.typeTested.handling.temperatureRange,0,1,Range
SpecimenDefinition.typeTested.handling.maxDuration,0,1,Duration
SpecimenDefinition.typeTested.handling.instruction,0,1,markdown
SpecimenDefinition.typeTested.testingDestination,0,*,CodeableConcept
