path,min,max,type
StructureDefinition.id,0,1,http://hl7.org/fhirpath/System.String
StructureDefinition.meta,0,1,Meta
StructureDefinition.implicitRules,0,1,uri
StructureDefinition.language,0,1,code
StructureDefinition.text,0,1,Narrative
StructureDefinition.contained,0,*,Resource
StructureDefinition.extension,0,*,Extension
StructureDefinition.modifierExtension,0,*,Extension
StructureDefinition.url,1,1,uri
StructureDefinition.identifier,0,*,Identifier
StructureDefinition.version,0,1,string
StructureDefinition.versionAlgorithm[x],0,1,string;Coding
StructureDefinition.name,1,1,string
StructureDefinition.title,0,1,string
StructureDefinition.status,1,1,code
StructureDefinition.experimental,0,1,boolean
StructureDefinition.date,0,1,dateTime
StructureDefinition.publisher,0,1,string
StructureDefinition.contact,0,*,ContactDetail
StructureDefinition.description,0,1,markdown
StructureDefinition.useContext,0,*,UsageContext
StructureDefinition.jurisdiction,0,*,CodeableConcept
StructureDefinition.purpose,0,1,markdown
StructureDefinition.copyright,0,1,markdown
StructureDefinition.copyrightLabel,0,1,string
StructureDefinition.keyword,0,*,Coding
StructureDefinition.fhirVersion,0,1,code
StructureDefinition.mapping,0,*,BackboneElement
StructureDefinition.mapping.id,0,1,http://hl7.org/fhirpath/System.String
StructureDefinition.mapping.extension,0,*,Extension
StructureDefinition.mapping.modifierExtension,0,*,Extension
StructureDefinition.mapping.identity,1,1,id
StructureDefinition.mapping.uri,0,1,uri
StructureDefinition.mapping.name,0,1,string
StructureDefinition.mapping.comment,0,1,string
StructureDefinition.kind,1,1,code
StructureDefinition.abstract,1,1,boolean
StructureDefinition.context,0,*,BackboneElement
StructureDefinition.context.id,0,1,http://hl7.org/fhirpath/System.String
StructureDefinition.context.extension,0,*,Extension
StructureDefinition.context.modifierExtension,0,*,Extension
StructureDefinition.context.type,1,1,code
StructureDefinition.context.expression,1,1,string
StructureDefinition.contextInvariant,0,*,string
StructureDefinition.type,1,1,uri
StructureDefinition.baseDefinition,0,1,canonical
StructureDefinition.derivation,0,1,code
StructureDefinition.snapshot,0,1,BackboneElement
StructureDefinition.snapshot.id,0,1,http://hl7.org/fhirpath/System.String
StructureDefinition.snapshot.extension,0,*,Extension
StructureDefinition.snapshot.modifierExtension,0,*,Extension
StructureDefinition.snapshot.element,1,*,ElementDefinition
StructureDefinition.differential,0,1,BackboneElement
StructureDefinition.differential.id,0,1,http://hl7.org/fhirpath/System.String
StructureDefinition.differential.extension,0,*,Extension
StructureDefinition.differential.modifierExtension,0,*,Extension
StructureDefinition.differential.element,1,*,ElementDefinition
