path,min,max,type
StructureMap.id,0,1,http://hl7.org/fhirpath/System.String
StructureMap.meta,0,1,Meta
StructureMap.implicitRules,0,1,uri
StructureMap.language,0,1,code
StructureMap.text,0,1,Narrative
StructureMap.contained,0,*,Resource
StructureMap.extension,0,*,Extension
StructureMap.modifierExtension,0,*,Extension
StructureMap.url,1,1,uri
StructureMap.identifier,0,*,Identifier
StructureMap.version,0,1,string
StructureMap.versionAlgorithm[x],0,1,string;Coding
StructureMap.name,1,1,string
StructureMap.title,0,1,string
StructureMap.status,1,1,code
StructureMap.experimental,0,1,boolean
StructureMap.date,0,1,dateTime
StructureMap.publisher,0,1,string
StructureMap.contact,0,*,ContactDetail
StructureMap.description,0,1,markdown
StructureMap.useContext,0,*,UsageContext
StructureMap.jurisdiction,0,*,CodeableConcept
StructureMap.purpose,0,1,markdown
StructureMap.copyright,0,1,markdown
StructureMap.copyrightLabel,0,1,string
StructureMap.structure,0,*,BackboneElement
StructureMap.structure.id,0,1,http://hl7.org/fhirpath/System.String
StructureMap.structure.extension,0,*,Extension
StructureMap.structure.modifierExtension,0,*,Extension
StructureMap.structure.url,1,1,canonical
StructureMap.structure.mode,1,1,code
StructureMap.structure.alias,0,1,string
StructureMap.structure.documentation,0,1,string
StructureMap.import,0,*,canonical
StructureMap.group,1,*,BackboneElement
StructureMap.group.id,0,1,http://hl7.org/fhirpath/System.String
StructureMap.group.extension,0,*,Extension
StructureMap.group.modifierExtension,0,*,Extension
StructureMap.group.name,1,1,id
StructureMap.group.extends,0,1,id
StructureMap.group.typeMode,0,1,code
StructureMap.group.documentation,0,1,string
StructureMap.group.input,1,*,BackboneElement
StructureMap.group.input.id,0,1,http://hl7.org/fhirpath/System.String
StructureMap.group.input.extension,0,*,Extension
StructureMap.group.input.modifierExtension,0,*,Extension
StructureMap.group.input.name,1,1,id
StructureMap.group.input.type,0,1,string
StructureMap.group.input.mode,1,1,code
StructureMap.group.input.documentation,0,1,string
StructureMap.group.rule,0,*,BackboneElement
StructureMap.group.rule.id,0,1,http://hl7.org/fhirpath/System.String
StructureMap.group.rule.extension,0,*,Extension
StructureMap.group.rule.modifierExtension,0,*,Extension
StructureMap.group.rule.name,0,1,id
StructureMap.group.rule.source,1,*,BackboneElement
StructureMap.group.rule.source.id,0,1,http://hl7.org/fhirpath/System.String
StructureMap.group.rule.source.extension,0,*,Extension
StructureMap.group.rule.source.modifierExtension,0,*,Extension
StructureMap.group.rule.source.context,1,1,id
StructureMap.group.rule.source.min,0,1,integer
StructureMap.group.rule.source.max,0,1,string
StructureMap.group.rule.source.type,0,1,string
StructureMap.group.rule.source.defaultValue,0,1,string
StructureMap.group.rule.source.element,0,1,string
StructureMap.group.rule.source.listMode,0,1,code
StructureMap.group.rule.source.variable,0,1,id
StructureMap.group.rule.source.condition,0,1,string
StructureMap.group.rule.source.check,0,1,string
StructureMap.group.rule.source.logMessage,0,1,string
StructureMap.group.rule.target,0,*,BackboneElement
StructureMap.group.rule.target.id,0,1,http://hl7.org/fhirpath/System.String
StructureMap.group.rule.target.extension,0,*,Extension
StructureMap.group.rule.target.modifierExtension,0,*,Extension
StructureMap.group.rule.target.context,0,1,id
StructureMap.group.rule.target.element,0,1,string
StructureMap.group.rule.target.variable,0,1,id
StructureMap.group.rule.target.listMode,0,*,code
StructureMap.group.rule.target.listRuleId,0,1,id
StructureMap.group.rule.target.transform,0,1,code
StructureMap.group.rule.target.parameter,0,*,BackboneElement
StructureMap.group.rule.target.parameter.id,0,1,http://hl7.org/fhirpath/System.String
StructureMap.group.rule.target.parameter.extension,0,*,Extension
StructureMap.group.rule.target.parameter.modifierExtension,0,*,Extension
StructureMap.group.rule.target.parameter.value[x],1,1,id;string;boolean;integer;decimal;date;time;dateTime
StructureMap.group.rule.dependent,0,*,BackboneElement
StructureMap.group.rule.dependent.id,0,1,http://hl7.org/fhirpath/System.String
StructureMap.group.rule.dependent.extension,0,*,Extension
StructureMap.group.rule.dependent.modifierExtension,0,*,Extension
StructureMap.group.rule.dependent.name,1,1,id
StructureMap.group.rule.documentation,0,1,string
