path,min,max,type
Subscription.id,0,1,http://hl7.org/fhirpath/System.String
Subscription.meta,0,1,Meta
Subscription.implicitRules,0,1,uri
Subscription.language,0,1,code
Subscription.text,0,1,Narrative
Subscription.contained,0,*,Resource
Subscription.extension,0,*,Extension
Subscription.modifierExtension,0,*,Extension
Subscription.identifier,0,*,Identifier
Subscription.name,0,1,string
Subscription.status,1,1,code
Subscription.topic,1,1,canonical
Subscription.contact,0,*,ContactPoint
Subscription.end,0,1,instant
Subscription.managingEntity,0,1,Reference
Subscription.reason,0,1,string
Subscription.filterBy,0,*,BackboneElement
Subscription.filterBy.id,0,1,http://hl7.org/fhirpath/System.String
Subscription.filterBy.extension,0,*,Extension
Subscription.filterBy.modifierExtension,0,*,Extension
Subscription.filterBy.resourceType,0,1,uri
Subscription.filterBy.filterParameter,1,1,string
Subscription.filterBy.modifier,0,1,code
Subscription.filterBy.value,1,1,string
Subscription.channelType,1,1,Coding
Subscription.endpoint,0,1,url
Subscription.header,0,*,string
Subscription.heartbeatPeriod,0,1,unsignedInt
Subscription.timeout,0,1,unsignedInt
Subscription.contentType,0,1,code
Subscription.content,0,1,code
Subscription.maxCount,0,1,positiveInt
