path,min,max,type
SubscriptionStatus.id,0,1,http://hl7.org/fhirpath/System.String
SubscriptionStatus.meta,0,1,Meta
SubscriptionStatus.implicitRules,0,1,uri
SubscriptionStatus.language,0,1,code
SubscriptionStatus.text,0,1,Narrative
SubscriptionStatus.contained,0,*,Resource
SubscriptionStatus.extension,0,*,Extension
SubscriptionStatus.modifierExtension,0,*,Extension
SubscriptionStatus.status,0,1,code
SubscriptionStatus.type,1,1,code
SubscriptionStatus.eventsSinceSubscriptionStart,0,1,integer64
SubscriptionStatus.notificationEvent,0,*,BackboneElement
SubscriptionStatus.notificationEvent.id,0,1,http://hl7.org/fhirpath/System.String
SubscriptionStatus.notificationEvent.extension,0,*,Extension
SubscriptionStatus.notificationEvent.modifierExtension,0,*,Extension
SubscriptionStatus.notificationEvent.eventNumber,1,1,integer64
SubscriptionStatus.notificationEvent.timestamp,0,1,instant
SubscriptionStatus.notificationEvent.focus,0,1,Reference
SubscriptionStatus.notificationEvent.additionalContext,0,*,Reference
SubscriptionStatus.subscription,1,1,Reference
SubscriptionStatus.topic,0,1,canonical
SubscriptionStatus.error,0,*,CodeableConcept
