path,min,max,type
SubscriptionTopic.id,0,1,http://hl7.org/fhirpath/System.String
SubscriptionTopic.meta,0,1,Meta
SubscriptionTopic.implicitRules,0,1,uri
SubscriptionTopic.language,0,1,code
SubscriptionTopic.text,0,1,Narrative
SubscriptionTopic.contained,0,*,Resource
SubscriptionTopic.extension,0,*,Extension
SubscriptionTopic.modifierExtension,0,*,Extension
SubscriptionTopic.url,1,1,uri
SubscriptionTopic.identifier,0,*,Identifier
SubscriptionTopic.version,0,1,string
SubscriptionTopic.title,0,1,string
SubscriptionTopic.derivedFrom,0,*,canonical
SubscriptionTopic.status,1,1,code
SubscriptionTopic.experimental,0,1,boolean
SubscriptionTopic.date,0,1,dateTime
SubscriptionTopic.publisher,0,1,string
SubscriptionTopic.contact,0,*,ContactDetail
SubscriptionTopic.description,0,1,markdown
SubscriptionTopic.useContext,0,*,UsageContext
SubscriptionTopic.jurisdiction,0,*,CodeableConcept
SubscriptionTopic.purpose,0,1,markdown
SubscriptionTopic.copyright,0,1,markdown
SubscriptionTopic.copyrightLabel,0,1,string
SubscriptionTopic.approvalDate,0,1,date
SubscriptionTopic.lastReviewDate,0,1,date
SubscriptionTopic.effectivePeriod,0,1,Period
SubscriptionTopic.resourceTrigger,0,*,BackboneElement
SubscriptionTopic.resourceTrigger.id,0,1,http://hl7.org/fhirpath/System.String
SubscriptionTopic.resourceTrigger.extension,0,*,Extension
SubscriptionTopic.resourceTrigger.modifierExtension,0,*,Extension
SubscriptionTopic.resourceTrigger.description,0,1,markdown
SubscriptionTopic.resourceTrigger.resource,1,1,uri
SubscriptionTopic.resourceTrigger.supportedInteraction,0,*,code
SubscriptionTopic.resourceTrigger.queryCriteria,0,1,BackboneElement
SubscriptionTopic.resourceTrigger.queryCriteria.id,0,1,http://hl7.org/fhirpath/System.String
SubscriptionTopic.resourceTrigger.queryCriteria.extension,0,*,Extension
SubscriptionTopic.resourceTrigger.queryCriteria.modifierExtension,0,*,Extension
SubscriptionTopic.resourceTrigger.queryCriteria.previous,0,1,string
SubscriptionTopic.resourceTrigger.queryCriteria.resultForCreate,0,1,code
SubscriptionTopic.resourceTrigger.queryCriteria.current,0,1,string
SubscriptionTopic.resourceTrigger.queryCriteria.resultForDelete,0,1,code
SubscriptionTopic.resourceTrigger.queryCriteria.requireBoth,0,1,boolean
SubscriptionTopic.resourceTrigger.fhirPathCriteria,0,1,string
SubscriptionTopic.eventTrigger,0,*,BackboneElement
SubscriptionTopic.eventTrigger.id,0,1,http://hl7.org/fhirpath/System.String
SubscriptionTopic.eventTrigger.extension,0,*,Extension
SubscriptionTopic.eventTrigger.modifierExtension,0,*,Extension
SubscriptionTopic.eventTrigger.description,0,1,markdown
SubscriptionTopic.eventTrigger.event,1,1,CodeableConcept
SubscriptionTopic.eventTrigger.resource,1,1,uri
SubscriptionTopic.canFilterBy,0,*,BackboneElement
SubscriptionTopic.canFilterBy.id,0,1,http://hl7.org/fhirpath/System.String
SubscriptionTopic.canFilterBy.extension,0,*,Extension
SubscriptionTopic.canFilterBy.modifierExtension,0,*,Extension
SubscriptionTopic.canFilterBy.description,0,1,markdown
SubscriptionTopic.canFilterBy.resource,0,1,uri
SubscriptionTopic.canFilterBy.filterParameter,1,1,string
SubscriptionTopic.canFilterBy.filterDefinition,0,1,uri
SubscriptionTopic.canFilterBy.modifier,0,*,code
SubscriptionTopic.notificationShape,0,*,BackboneElement
SubscriptionTopic.notificationShape.id,0,1,http://hl7.org/fhirpath/System.String
SubscriptionTopic.notificationShape.extension,0,*,Extension
SubscriptionTopic.notificationShape.modifierExtension,0,*,Extension
SubscriptionTopic.notificationShape.resource,1,1,uri
SubscriptionTopic.notificationShape.include,0,*,string
SubscriptionTopic.notificationShape.revInclude,0,*,string
