path,min,max,type
Substance.id,0,1,http://hl7.org/fhirpath/System.String
Substance.meta,0,1,Meta
Substance.implicitRules,0,1,uri
Substance.language,0,1,code
Substance.text,0,1,Narrative
Substance.contained,0,*,Resource
Substance.extension,0,*,Extension
Substance.modifierExtension,0,*,Extension
Substance.identifier,0,*,Identifier
Substance.instance,1,1,boolean
Substance.status,0,1,code
Substance.category,0,*,CodeableConcept
Substance.code,1,1,CodeableReference
Substance.description,0,1,markdown
Substance.expiry,0,1,dateTime
Substance.quantity,0,1,Quantity
Substance.ingredient,0,*,BackboneElement
Substance.ingredient.id,0,1,http://hl7.org/fhirpath/System.String
Substance.ingredient.extension,0,*,Extension
Substance.ingredient.modifierExtension,0,*,Extension
Substance.ingredient.quantity,0,1,Ratio
Substance.ingredient.substance[x],1,1,CodeableConcept;Reference
