path,min,max,type
SubstanceDefinition.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceDefinition.meta,0,1,Meta
SubstanceDefinition.implicitRules,0,1,uri
SubstanceDefinition.language,0,1,code
SubstanceDefinition.text,0,1,Narrative
SubstanceDefinition.contained,0,*,Resource
SubstanceDefinition.extension,0,*,Extension
SubstanceDefinition.modifierExtension,0,*,Extension
SubstanceDefinition.identifier,0,*,Identifier
SubstanceDefinition.version,0,1,string
SubstanceDefinition.status,0,1,CodeableConcept
SubstanceDefinition.classification,0,*,CodeableConcept
SubstanceDefinition.domain,0,1,CodeableConcept
SubstanceDefinition.grade,0,*,CodeableConcept
SubstanceDefinition.description,0,1,markdown
SubstanceDefinition.informationSource,0,*,Reference
SubstanceDefinition.note,0,*,Annotation
SubstanceDefinition.manufacturer,0,*,Reference
SubstanceDefinition.supplier,0,*,Reference
SubstanceDefinition.moiety,0,*,BackboneElement
SubstanceDefinition.moiety.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceDefinition.moiety.extension,0,*,Extension
SubstanceDefinition.moiety.modifierExtension,0,*,Extension
SubstanceDefinition.moiety.role,0,1,CodeableConcept
SubstanceDefinition.moiety.identifier,0,1,Identifier
SubstanceDefinition.moiety.name,0,1,string
SubstanceDefinition.moiety.stereochemistry,0,1,CodeableConcept
SubstanceDefinition.moiety.opticalActivity,0,1,CodeableConcept
SubstanceDefinition.moiety.molecularFormula,0,1,string
SubstanceDefinition.moiety.amount[x],0,1,Quantity;string
SubstanceDefinition.moiety.measurementType,0,1,CodeableConcept
SubstanceDefinition.characterization,0,*,BackboneElement
SubstanceDefinition.characterization.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceDefinition.characterization.extension,0,*,Extension
SubstanceDefinition.characterization.modifierExtension,0,*,Extension
SubstanceDefinition.characterization.technique,0,1,CodeableConcept
SubstanceDefinition.characterization.form,0,1,CodeableConcept
SubstanceDefinition.characterization.description,0,1,markdown
SubstanceDefinition.characterization.file,0,*,Attachment
SubstanceDefinition.property,0,*,BackboneElement
SubstanceDefinition.property.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceDefinition.property.extension,0,*,Extension
SubstanceDefinition.property.modifierExtension,0,*,Extension
SubstanceDefinition.property.type,1,1,CodeableConcept
SubstanceDefinition.property.value[x],0,1,CodeableConcept;Quantity;date;boolean;Attachment
SubstanceDefinition.referenceInformation,0,1,Reference
SubstanceDefinition.molecularWeight,0,*,BackboneElement
SubstanceDefinition.molecularWeight.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceDefinition.molecularWeight.extension,0,*,Extension
SubstanceDefinition.molecularWeight.modifierExtension,0,*,Extension
SubstanceDefinition.molecularWeight.method,0,1,CodeableConcept
SubstanceDefinition.molecularWeight.type,0,1,CodeableConcept
SubstanceDefinition.molecularWeight.amount,1,1,Quantity
SubstanceDefinition.structure,0,1,BackboneElement
SubstanceDefinition.structure.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceDefinition.structure.extension,0,*,Extension
SubstanceDefinition.structure.modifierExtension,0,*,Extension
SubstanceDefinition.structure.stereochemistry,0,1,CodeableConcept
SubstanceDefinition.structure.opticalActivity,0,1,CodeableConcept
SubstanceDefinition.structure.molecularFormula,0,1,string
SubstanceDefinition.structure.molecularFormulaByMoiety,0,1,string
SubstanceDefinition.structure.technique,0,*,CodeableConcept
SubstanceDefinition.structure.sourceDocument,0,*,Reference
SubstanceDefinition.structure.representation,0,*,BackboneElement
SubstanceDefinition.structure.representation.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceDefinition.structure.representation.extension,0,*,Extension
SubstanceDefinition.structure.representation.modifierExtension,0,*,Extension
SubstanceDefinition.structure.representation.type,0,1,CodeableConcept
SubstanceDefinition.structure.representation.representation,0,1,string
SubstanceDefinition.structure.representation.format,0,1,CodeableConcept
SubstanceDefinition.structure.representation.document,0,1,Reference
SubstanceDefinition.code,0,*,BackboneElement
SubstanceDefinition.code.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceDefinition.code.extension,0,*,Extension
SubstanceDefinition.code.modifierExtension,0,*,Extension
SubstanceDefinition.code.code,0,1,CodeableConcept
SubstanceDefinition.code.status,0,1,CodeableConcept
SubstanceDefinition.code.statusDate,0,1,dateTime
SubstanceDefinition.code.note,0,*,Annotation
SubstanceDefinition.code.source,0,*,Reference
SubstanceDefinition.name,0,*,BackboneElement
SubstanceDefinition.name.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceDefinition.name.extension,0,*,Extension
SubstanceDefinition.name.modifierExtension,0,*,Extension
SubstanceDefinition.name.name,1,1,string
SubstanceDefinition.name.type,0,1,CodeableConcept
SubstanceDefinition.name.status,0,1,CodeableConcept
SubstanceDefinition.name.preferred,0,1,boolean
SubstanceDefinition.name.language,0,*,CodeableConcept
SubstanceDefinition.name.domain,0,*,CodeableConcept
SubstanceDefinition.name.jurisdiction,0,*,CodeableConcept
SubstanceDefinition.name.official,0,*,BackboneElement
SubstanceDefinition.name.official.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceDefinition.name.official.extension,0,*,Extension
SubstanceDefinition.name.official.modifierExtension,0,*,Extension
SubstanceDefinition.name.official.authority,0,1,CodeableConcept
SubstanceDefinition.name.official.status,0,1,CodeableConcept
SubstanceDefinition.name.official.date,0,1,dateTime
SubstanceDefinition.name.source,0,*,Reference
SubstanceDefinition.relationship,0,*,BackboneElement
SubstanceDefinition.relationship.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceDefinition.relationship.extension,0,*,Extension
SubstanceDefinition.relationship.modifierExtension,0,*,Extension
SubstanceDefinition.relationship.substanceDefinition[x],0,1,Reference;CodeableConcept
SubstanceDefinition.relationship.type,1,1,CodeableConcept
SubstanceDefinition.relationship.isDefining,0,1,boolean
SubstanceDefinition.relationship.amount[x],0,1,Quantity;Ratio;string
SubstanceDefinition.relationship.ratioHighLimitAmount,0,1,Ratio
SubstanceDefinition.relationship.comparator,0,1,CodeableConcept
SubstanceDefinition.relationship.source,0,*,Reference
SubstanceDefinition.nucleicAcid,0,1,Reference
SubstanceDefinition.polymer,0,1,Reference
SubstanceDefinition.protein,0,1,Reference
SubstanceDefinition.sourceMaterial,0,1,BackboneElement
SubstanceDefinition.sourceMaterial.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceDefinition.sourceMaterial.extension,0,*,Extension
SubstanceDefinition.sourceMaterial.modifierExtension,0,*,Extension
SubstanceDefinition.sourceMaterial.type,0,1,CodeableConcept
SubstanceDefinition.sourceMaterial.genus,0,1,CodeableConcept
SubstanceDefinition.sourceMaterial.species,0,1,CodeableConcept
SubstanceDefinition.sourceMaterial.part,0,1,CodeableConcept
SubstanceDefinition.sourceMaterial.countryOfOrigin,0,*,CodeableConcept
