path,min,max,type
SubstanceNucleicAcid.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceNucleicAcid.meta,0,1,Meta
SubstanceNucleicAcid.implicitRules,0,1,uri
SubstanceNucleicAcid.language,0,1,code
SubstanceNucleicAcid.text,0,1,Narrative
SubstanceNucleicAcid.contained,0,*,Resource
SubstanceNucleicAcid.extension,0,*,Extension
SubstanceNucleicAcid.modifierExtension,0,*,Extension
SubstanceNucleicAcid.sequenceType,0,1,CodeableConcept
SubstanceNucleicAcid.numberOfSubunits,0,1,integer
SubstanceNucleicAcid.areaOfHybridisation,0,1,string
SubstanceNucleicAcid.oligoNucleotideType,0,1,CodeableConcept
SubstanceNucleicAcid.subunit,0,*,BackboneElement
SubstanceNucleicAcid.subunit.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceNucleicAcid.subunit.extension,0,*,Extension
SubstanceNucleicAcid.subunit.modifierExtension,0,*,Extension
SubstanceNucleicAcid.subunit.subunit,0,1,integer
SubstanceNucleicAcid.subunit.sequence,0,1,string
SubstanceNucleicAcid.subunit.length,0,1,integer
SubstanceNucleicAcid.subunit.sequenceAttachment,0,1,Attachment
SubstanceNucleicAcid.subunit.fivePrime,0,1,CodeableConcept
SubstanceNucleicAcid.subunit.threePrime,0,1,CodeableConcept
SubstanceNucleicAcid.subunit.linkage,0,*,BackboneElement
SubstanceNucleicAcid.subunit.linkage.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceNucleicAcid.subunit.linkage.extension,0,*,Extension
SubstanceNucleicAcid.subunit.linkage.modifierExtension,0,*,Extension
SubstanceNucleicAcid.subunit.linkage.connectivity,0,1,string
SubstanceNucleicAcid.subunit.linkage.identifier,0,1,Identifier
SubstanceNucleicAcid.subunit.linkage.name,0,1,string
SubstanceNucleicAcid.subunit.linkage.residueSite,0,1,string
SubstanceNucleicAcid.subunit.sugar,0,*,BackboneElement
SubstanceNucleicAcid.subunit.sugar.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceNucleicAcid.subunit.sugar.extension,0,*,Extension
SubstanceNucleicAcid.subunit.sugar.modifierExtension,0,*,Extension
SubstanceNucleicAcid.subunit.sugar.identifier,0,1,Identifier
SubstanceNucleicAcid.subunit.sugar.name,0,1,string
SubstanceNucleicAcid.subunit.sugar.residueSite,0,1,string
