path,min,max,type
SubstancePolymer.id,0,1,http://hl7.org/fhirpath/System.String
SubstancePolymer.meta,0,1,Meta
SubstancePolymer.implicitRules,0,1,uri
SubstancePolymer.language,0,1,code
SubstancePolymer.text,0,1,Narrative
SubstancePolymer.contained,0,*,Resource
SubstancePolymer.extension,0,*,Extension
SubstancePolymer.modifierExtension,0,*,Extension
SubstancePolymer.identifier,0,1,Identifier
SubstancePolymer.class,0,1,CodeableConcept
SubstancePolymer.geometry,0,1,CodeableConcept
SubstancePolymer.copolymerConnectivity,0,*,CodeableConcept
SubstancePolymer.modification,0,1,string
SubstancePolymer.monomerSet,0,*,BackboneElement
SubstancePolymer.monomerSet.id,0,1,http://hl7.org/fhirpath/System.String
SubstancePolymer.monomerSet.extension,0,*,Extension
SubstancePolymer.monomerSet.modifierExtension,0,*,Extension
SubstancePolymer.monomerSet.ratioType,0,1,CodeableConcept
SubstancePolymer.monomerSet.startingMaterial,0,*,BackboneElement
SubstancePolymer.monomerSet.startingMaterial.id,0,1,http://hl7.org/fhirpath/System.String
SubstancePolymer.monomerSet.startingMaterial.extension,0,*,Extension
SubstancePolymer.monomerSet.startingMaterial.modifierExtension,0,*,Extension
SubstancePolymer.monomerSet.startingMaterial.code,0,1,CodeableConcept
SubstancePolymer.monomerSet.startingMaterial.category,0,1,CodeableConcept
SubstancePolymer.monomerSet.startingMaterial.isDefining,0,1,boolean
SubstancePolymer.monomerSet.startingMaterial.amount,0,1,Quantity
SubstancePolymer.repeat,0,*,BackboneElement
SubstancePolymer.repeat.id,0,1,http://hl7.org/fhirpath/System.String
SubstancePolymer.repeat.extension,0,*,Extension
SubstancePolymer.repeat.modifierExtension,0,*,Extension
SubstancePolymer.repeat.averageMolecularFormula,0,1,string
SubstancePolymer.repeat.repeatUnitAmountType,0,1,CodeableConcept
SubstancePolymer.repeat.repeatUnit,0,*,BackboneElement
SubstancePolymer.repeat.repeatUnit.id,0,1,http://hl7.org/fhirpath/System.String
SubstancePolymer.repeat.repeatUnit.extension,0,*,Extension
SubstancePolymer.repeat.repeatUnit.modifierExtension,0,*,Extension
SubstancePolymer.repeat.repeatUnit.unit,0,1,string
SubstancePolymer.repeat.repeatUnit.orientation,0,1,CodeableConcept
SubstancePolymer.repeat.repeatUnit.amount,0,1,integer
SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation,0,*,BackboneElement
SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.id,0,1,http://hl7.org/fhirpath/System.String
SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.extension,0,*,Extension
SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.modifierExtension,0,*,Extension
SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.type,0,1,CodeableConcept
SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.average,0,1,integer
SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.low,0,1,integer
SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.high,0,1,integer
SubstancePolymer.repeat.repeatUnit.structuralRepresentation,0,*,BackboneElement
SubstancePolymer.repeat.repeatUnit.structuralRepresentation.id,0,1,http://hl7.org/fhirpath/System.String
SubstancePolymer.repeat.repeatUnit.structuralRepresentation.extension,0,*,Extension
SubstancePolymer.repeat.repeatUnit.structuralRepresentation.modifierExtension,0,*,Extension
SubstancePolymer.repeat.repeatUnit.structuralRepresentation.type,0,1,CodeableConcept
SubstancePolymer.repeat.repeatUnit.structuralRepresentation.representation,0,1,string
SubstancePolymer.repeat.repeatUnit.structuralRepresentation.format,0,1,CodeableConcept
SubstancePolymer.repeat.repeatUnit.structuralRepresentation.attachment,0,1,Attachment
