path,min,max,type
SubstanceProtein.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceProtein.meta,0,1,Meta
SubstanceProtein.implicitRules,0,1,uri
SubstanceProtein.language,0,1,code
SubstanceProtein.text,0,1,Narrative
SubstanceProtein.contained,0,*,Resource
SubstanceProtein.extension,0,*,Extension
SubstanceProtein.modifierExtension,0,*,Extension
SubstanceProtein.sequenceType,0,1,CodeableConcept
SubstanceProtein.numberOfSubunits,0,1,integer
SubstanceProtein.disulfideLinkage,0,*,string
SubstanceProtein.subunit,0,*,BackboneElement
SubstanceProtein.subunit.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceProtein.subunit.extension,0,*,Extension
SubstanceProtein.subunit.modifierExtension,0,*,Extension
SubstanceProtein.subunit.subunit,0,1,integer
SubstanceProtein.subunit.sequence,0,1,string
SubstanceProtein.subunit.length,0,1,integer
SubstanceProtein.subunit.sequenceAttachment,0,1,Attachment
SubstanceProtein.subunit.nTerminalModificationId,0,1,Identifier
SubstanceProtein.subunit.nTerminalModification,0,1,string
SubstanceProtein.subunit.cTerminalModificationId,0,1,Identifier
SubstanceProtein.subunit.cTerminalModification,0,1,string
