path,min,max,type
SubstanceReferenceInformation.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceReferenceInformation.meta,0,1,Meta
SubstanceReferenceInformation.implicitRules,0,1,uri
SubstanceReferenceInformation.language,0,1,code
SubstanceReferenceInformation.text,0,1,Narrative
SubstanceReferenceInformation.contained,0,*,Resource
SubstanceReferenceInformation.extension,0,*,Extension
SubstanceReferenceInformation.modifierExtension,0,*,Extension
SubstanceReferenceInformation.comment,0,1,string
SubstanceReferenceInformation.gene,0,*,BackboneElement
SubstanceReferenceInformation.gene.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceReferenceInformation.gene.extension,0,*,Extension
SubstanceReferenceInformation.gene.modifierExtension,0,*,Extension
SubstanceReferenceInformation.gene.geneSequenceOrigin,0,1,CodeableConcept
SubstanceReferenceInformation.gene.gene,0,1,CodeableConcept
SubstanceReferenceInformation.gene.source,0,*,Reference
SubstanceReferenceInformation.geneElement,0,*,BackboneElement
SubstanceReferenceInformation.geneElement.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceReferenceInformation.geneElement.extension,0,*,Extension
SubstanceReferenceInformation.geneElement.modifierExtension,0,*,Extension
SubstanceReferenceInformation.geneElement.type,0,1,CodeableConcept
SubstanceReferenceInformation.geneElement.element,0,1,Identifier
SubstanceReferenceInformation.geneElement.source,0,*,Reference
SubstanceReferenceInformation.target,0,*,BackboneElement
SubstanceReferenceInformation.target.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceReferenceInformation.target.extension,0,*,Extension
SubstanceReferenceInformation.target.modifierExtension,0,*,Extension
SubstanceReferenceInformation.target.target,0,1,Identifier
SubstanceReferenceInformation.target.type,0,1,CodeableConcept
SubstanceReferenceInformation.target.interaction,0,1,CodeableConcept
SubstanceReferenceInformation.target.organism,0,1,CodeableConcept
SubstanceReferenceInformation.target.organismType,0,1,CodeableConcept
SubstanceReferenceInformation.target.amount[x],0,1,Quantity;Range;string
SubstanceReferenceInformation.target.amountType,0,1,CodeableConcept
SubstanceReferenceInformation.target.source,0,*,Reference
