path,min,max,type
SubstanceSourceMaterial.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceSourceMaterial.meta,0,1,Meta
SubstanceSourceMaterial.implicitRules,0,1,uri
SubstanceSourceMaterial.language,0,1,code
SubstanceSourceMaterial.text,0,1,Narrative
SubstanceSourceMaterial.contained,0,*,Resource
SubstanceSourceMaterial.extension,0,*,Extension
SubstanceSourceMaterial.modifierExtension,0,*,Extension
SubstanceSourceMaterial.sourceMaterialClass,0,1,CodeableConcept
SubstanceSourceMaterial.sourceMaterialType,0,1,CodeableConcept
SubstanceSourceMaterial.sourceMaterialState,0,1,CodeableConcept
SubstanceSourceMaterial.organismId,0,1,Identifier
SubstanceSourceMaterial.organismName,0,1,string
SubstanceSourceMaterial.parentSubstanceId,0,*,Identifier
SubstanceSourceMaterial.parentSubstanceName,0,*,string
SubstanceSourceMaterial.countryOfOrigin,0,*,CodeableConcept
SubstanceSourceMaterial.geographicalLocation,0,*,string
SubstanceSourceMaterial.developmentStage,0,1,CodeableConcept
SubstanceSourceMaterial.fractionDescription,0,*,BackboneElement
SubstanceSourceMaterial.fractionDescription.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceSourceMaterial.fractionDescription.extension,0,*,Extension
SubstanceSourceMaterial.fractionDescription.modifierExtension,0,*,Extension
SubstanceSourceMaterial.fractionDescription.fraction,0,1,string
SubstanceSourceMaterial.fractionDescription.materialType,0,1,CodeableConcept
SubstanceSourceMaterial.organism,0,1,BackboneElement
SubstanceSourceMaterial.organism.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceSourceMaterial.organism.extension,0,*,Extension
SubstanceSourceMaterial.organism.modifierExtension,0,*,Extension
SubstanceSourceMaterial.organism.family,0,1,CodeableConcept
SubstanceSourceMaterial.organism.genus,0,1,CodeableConcept
SubstanceSourceMaterial.organism.species,0,1,CodeableConcept
SubstanceSourceMaterial.organism.intraspecificType,0,1,CodeableConcept
SubstanceSourceMaterial.organism.intraspecificDescription,0,1,string
SubstanceSourceMaterial.organism.author,0,*,BackboneElement
SubstanceSourceMaterial.organism.author.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceSourceMaterial.organism.author.extension,0,*,Extension
SubstanceSourceMaterial.organism.author.modifierExtension,0,*,Extension
SubstanceSourceMaterial.organism.author.authorType,0,1,CodeableConcept
SubstanceSourceMaterial.organism.author.authorDescription,0,1,string
SubstanceSourceMaterial.organism.hybrid,0,1,BackboneElement
SubstanceSourceMaterial.organism.hybrid.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceSourceMaterial.organism.hybrid.extension,0,*,Extension
SubstanceSourceMaterial.organism.hybrid.modifierExtension,0,*,Extension
SubstanceSourceMaterial.organism.hybrid.maternalOrganismId,0,1,string
SubstanceSourceMaterial.organism.hybrid.maternalOrganismName,0,1,string
SubstanceSourceMaterial.organism.hybrid.paternalOrganismId,0,1,string
SubstanceSourceMaterial.organism.hybrid.paternalOrganismName,0,1,string
SubstanceSourceMaterial.organism.hybrid.hybridType,0,1,CodeableConcept
SubstanceSourceMaterial.organism.organismGeneral,0,1,BackboneElement
SubstanceSourceMaterial.organism.organismGeneral.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceSourceMaterial.organism.organismGeneral.extension,0,*,Extension
SubstanceSourceMaterial.organism.organismGeneral.modifierExtension,0,*,Extension
SubstanceSourceMaterial.organism.organismGeneral.kingdom,0,1,CodeableConcept
SubstanceSourceMaterial.organism.organismGeneral.phylum,0,1,CodeableConcept
SubstanceSourceMaterial.organism.organismGeneral.class,0,1,CodeableConcept
SubstanceSourceMaterial.organism.organismGeneral.order,0,1,CodeableConcept
SubstanceSourceMaterial.partDescription,0,*,BackboneElement
SubstanceSourceMaterial.partDescription.id,0,1,http://hl7.org/fhirpath/System.String
SubstanceSourceMaterial.partDescription.extension,0,*,Extension
SubstanceSourceMaterial.partDescription.modifierExtension,0,*,Extension
SubstanceSourceMaterial.partDescription.part,0,1,CodeableConcept
SubstanceSourceMaterial.partDescription.partLocation,0,1,CodeableConcept
