path,min,max,type
SupplyDelivery.id,0,1,http://hl7.org/fhirpath/System.String
SupplyDelivery.meta,0,1,Meta
SupplyDelivery.implicitRules,0,1,uri
SupplyDelivery.language,0,1,code
SupplyDelivery.text,0,1,Narrative
SupplyDelivery.contained,0,*,Resource
SupplyDelivery.extension,0,*,Extension
SupplyDelivery.modifierExtension,0,*,Extension
SupplyDelivery.identifier,0,*,Identifier
SupplyDelivery.basedOn,0,*,Reference
SupplyDelivery.partOf,0,*,Reference
SupplyDelivery.status,0,1,code
SupplyDelivery.patient,0,1,Reference
SupplyDelivery.type,0,1,CodeableConcept
SupplyDelivery.suppliedItem,0,*,BackboneElement
SupplyDelivery.suppliedItem.id,0,1,http://hl7.org/fhirpath/System.String
SupplyDelivery.suppliedItem.extension,0,*,Extension
SupplyDelivery.suppliedItem.modifierExtension,0,*,Extension
SupplyDelivery.suppliedItem.quantity,0,1,Quantity
SupplyDelivery.suppliedItem.item[x],0,1,CodeableConcept;Reference
SupplyDelivery.occurrence[x],0,1,dateTime;Period;Timing
SupplyDelivery.supplier,0,1,Reference
SupplyDelivery.destination,0,1,Reference
SupplyDelivery.receiver,0,*,Reference
