path,min,max,type
SupplyRequest.id,0,1,http://hl7.org/fhirpath/System.String
SupplyRequest.meta,0,1,Meta
SupplyRequest.implicitRules,0,1,uri
SupplyRequest.language,0,1,code
SupplyRequest.text,0,1,Narrative
SupplyRequest.contained,0,*,Resource
SupplyRequest.extension,0,*,Extension
SupplyRequest.modifierExtension,0,*,Extension
SupplyRequest.identifier,0,*,Identifier
SupplyRequest.status,0,1,code
SupplyRequest.basedOn,0,*,Reference
SupplyRequest.category,0,1,CodeableConcept
SupplyRequest.priority,0,1,code
SupplyRequest.deliverFor,0,1,Reference
SupplyRequest.item,1,1,CodeableReference
SupplyRequest.quantity,1,1,Quantity
SupplyRequest.parameter,0,*,BackboneElement
SupplyRequest.parameter.id,0,1,http://hl7.org/fhirpath/System.String
SupplyRequest.parameter.extension,0,*,Extension
SupplyRequest.parameter.modifierExtension,0,*,Extension
SupplyRequest.parameter.code,0,1,CodeableConcept
SupplyRequest.parameter.value[x],0,1,CodeableConcept;Quantity;Range;boolean
SupplyRequest.occurrence[x],0,1,dateTime;Period;Timing
SupplyRequest.authoredOn,0,1,dateTime
SupplyRequest.requester,0,1,Reference
SupplyRequest.supplier,0,*,Reference
SupplyRequest.reason,0,*,CodeableReference
SupplyRequest.deliverFrom,0,1,Reference
SupplyRequest.deliverTo,0,1,Reference
