path,min,max,type
Task.id,0,1,http://hl7.org/fhirpath/System.String
Task.meta,0,1,Meta
Task.implicitRules,0,1,uri
Task.language,0,1,code
Task.text,0,1,Narrative
Task.contained,0,*,Resource
Task.extension,0,*,Extension
Task.modifierExtension,0,*,Extension
Task.identifier,0,*,Identifier
Task.instantiatesCanonical,0,1,canonical
Task.instantiatesUri,0,1,uri
Task.basedOn,0,*,Reference
Task.groupIdentifier,0,1,Identifier
Task.partOf,0,*,Reference
Task.status,1,1,code
Task.statusReason,0,1,CodeableReference
Task.businessStatus,0,1,CodeableConcept
Task.intent,1,1,code
Task.priority,0,1,code
Task.doNotPerform,0,1,boolean
Task.code,0,1,CodeableConcept
Task.description,0,1,string
Task.focus,0,1,Reference
Task.for,0,1,Reference
Task.encounter,0,1,Reference
Task.requestedPeriod,0,1,Period
Task.executionPeriod,0,1,Period
Task.authoredOn,0,1,dateTime
Task.lastModified,0,1,dateTime
Task.requester,0,1,Reference
Task.requestedPerformer,0,*,CodeableReference
Task.owner,0,1,Reference
Task.performer,0,*,BackboneElement
Task.performer.id,0,1,http://hl7.org/fhirpath/System.String
Task.performer.extension,0,*,Extension
Task.performer.modifierExtension,0,*,Extension
Task.performer.function,0,1,CodeableConcept
Task.performer.actor,1,1,Reference
Task.location,0,1,Reference
Task.reason,0,*,CodeableReference
Task.insurance,0,*,Reference
Task.note,0,*,Annotation
Task.relevantHistory,0,*,Reference
Task.restriction,0,1,BackboneElement
Task.restriction.id,0,1,http://hl7.org/fhirpath/System.String
Task.restriction.extension,0,*,Extension
Task.restriction.modifierExtension,0,*,Extension
Task.restriction.repetitions,0,1,positiveInt
Task.restriction.period,0,1,Period
Task.restriction.recipient,0,*,Reference
Task.input,0,*,BackboneElement
Task.input.id,0,1,http://hl7.org/fhirpath/System.String
Task.input.extension,0,*,Extension
Task.input.modifierExtension,0,*,Extension
Task.input.type,1,1,CodeableConcept
Task.input.value[x],1,1,base64Binary;boolean;canonical;code;date;dateTime;decimal;id;instant;integer;integer64;markdown;oid;positiveInt;string;time;unsignedInt;uri;url;uuid;Address;Age;Annotation;Attachment;CodeableConcept;CodeableReference;Coding;ContactPoint;Count;Distance;Duration;HumanName;Identifier;Money;Period;Quantity;Range;Ratio;RatioRange;Reference;SampledData;Signature;Timing;ContactDetail;DataRequirement;Expression;ParameterDefinition;RelatedArtifact;TriggerDefinition;UsageContext;Availability;ExtendedContactDetail;Dosage;Meta
Task.output,0,*,BackboneElement
Task.output.id,0,1,http://hl7.org/fhirpath/System.String
Task.output.extension,0,*,Extension
Task.output.modifierExtension,0,*,Extension
Task.output.type,1,1,CodeableConcept
Task.output.value[x],1,1,base64Binary;boolean;canonical;code;date;dateTime;decimal;id;instant;integer;integer64;markdown;oid;positiveInt;string;time;unsignedInt;uri;url;uuid;Address;Age;Annotation;Attachment;CodeableConcept;CodeableReference;Coding;ContactPoint;Count;Distance;Duration;HumanName;Identifier;Money;Period;Quantity;Range;Ratio;RatioRange;Reference;SampledData;Signature;Timing;ContactDetail;DataRequirement;Expression;ParameterDefinition;RelatedArtifact;TriggerDefinition;UsageContext;Availability;ExtendedContactDetail;Dosage;Meta
