path,min,max,type
TerminologyCapabilities.id,0,1,http://hl7.org/fhirpath/System.String
TerminologyCapabilities.meta,0,1,Meta
TerminologyCapabilities.implicitRules,0,1,uri
TerminologyCapabilities.language,0,1,code
TerminologyCapabilities.text,0,1,Narrative
TerminologyCapabilities.contained,0,*,Resource
TerminologyCapabilities.extension,0,*,Extension
TerminologyCapabilities.modifierExtension,0,*,Extension
TerminologyCapabilities.url,0,1,uri
TerminologyCapabilities.identifier,0,*,Identifier
TerminologyCapabilities.version,0,1,string
TerminologyCapabilities.name,0,1,string
TerminologyCapabilities.title,0,1,string
TerminologyCapabilities.status,1,1,code
TerminologyCapabilities.experimental,0,1,boolean
TerminologyCapabilities.date,1,1,dateTime
TerminologyCapabilities.publisher,0,1,string
TerminologyCapabilities.contact,0,*,ContactDetail
TerminologyCapabilities.description,0,1,markdown
TerminologyCapabilities.useContext,0,*,UsageContext
TerminologyCapabilities.jurisdiction,0,*,CodeableConcept
TerminologyCapabilities.purpose,0,1,markdown
TerminologyCapabilities.copyright,0,1,markdown
TerminologyCapabilities.kind,1,1,code
TerminologyCapabilities.software,0,1,BackboneElement
TerminologyCapabilities.software.id,0,1,http://hl7.org/fhirpath/System.String
TerminologyCapabilities.software.extension,0,*,Extension
TerminologyCapabilities.software.modifierExtension,0,*,Extension
TerminologyCapabilities.software.name,1,1,string
TerminologyCapabilities.software.version,0,1,string
TerminologyCapabilities.implementation,0,1,BackboneElement
TerminologyCapabilities.implementation.id,0,1,http://hl7.org/fhirpath/System.String
TerminologyCapabilities.implementation.extension,0,*,Extension
TerminologyCapabilities.implementation.modifierExtension,0,*,Extension
TerminologyCapabilities.implementation.description,1,1,string
TerminologyCapabilities.implementation.url,0,1,url
TerminologyCapabilities.lockedDate,0,1,boolean
TerminologyCapabilities.codeSystem,0,*,BackboneElement
TerminologyCapabilities.codeSystem.id,0,1,http://hl7.org/fhirpath/System.String
TerminologyCapabilities.codeSystem.extension,0,*,Extension
TerminologyCapabilities.codeSystem.modifierExtension,0,*,Extension
TerminologyCapabilities.codeSystem.uri,0,1,canonical
TerminologyCapabilities.codeSystem.version,0,*,BackboneElement
TerminologyCapabilities.codeSystem.version.id,0,1,http://hl7.org/fhirpath/System.String
TerminologyCapabilities.codeSystem.version.extension,0,*,Extension
TerminologyCapabilities.codeSystem.version.modifierExtension,0,*,Extension
TerminologyCapabilities.codeSystem.version.code,0,1,string
TerminologyCapabilities.codeSystem.version.isDefault,0,1,boolean
TerminologyCapabilities.codeSystem.version.compositional,0,1,boolean
TerminologyCapabilities.codeSystem.version.language,0,*,code
TerminologyCapabilities.codeSystem.version.filter,0,*,BackboneElement
TerminologyCapabilities.codeSystem.version.filter.id,0,1,http://hl7.org/fhirpath/System.String
TerminologyCapabilities.codeSystem.version.filter.extension,0,*,Extension
TerminologyCapabilities.codeSystem.version.filter.modifierExtension,0,*,Extension
TerminologyCapabilities.codeSystem.version.filter.code,1,1,code
TerminologyCapabilities.codeSystem.version.filter.op,1,*,code
TerminologyCapabilities.codeSystem.version.property,0,*,code
TerminologyCapabilities.codeSystem.content,1,1,code
TerminologyCapabilities.codeSystem.subsumption,0,1,boolean
TerminologyCapabilities.expansion,0,1,BackboneElement
TerminologyCapabilities.expansion.id,0,1,http://hl7.org/fhirpath/System.String
TerminologyCapabilities.expansion.extension,0,*,Extension
TerminologyCapabilities.expansion.modifierExtension,0,*,Extension
TerminologyCapabilities.expansion.hierarchical,0,1,boolean
TerminologyCapabilities.expansion.paging,0,1,boolean
TerminologyCapabilities.expansion.incomplete,0,1,boolean
TerminologyCapabilities.expansion.parameter,0,*,BackboneElement
TerminologyCapabilities.expansion.parameter.id,0,1,http://hl7.org/fhirpath/System.String
TerminologyCapabilities.expansion.parameter.extension,0,*,Extension
TerminologyCapabilities.expansion.parameter.modifierExtension,0,*,Extension
TerminologyCapabilities.expansion.parameter.name,1,1,code
TerminologyCapabilities.expansion.parameter.documentation,0,1,string
TerminologyCapabilities.expansion.textFilter,0,1,markdown
TerminologyCapabilities.codeSearch,0,1,code
TerminologyCapabilities.validateCode,0,1,BackboneElement
TerminologyCapabilities.validateCode.id,0,1,http://hl7.org/fhirpath/System.String
TerminologyCapabilities.validateCode.extension,0,*,Extension
TerminologyCapabilities.validateCode.modifierExtension,0,*,Extension
TerminologyCapabilities.validateCode.translations,1,1,boolean
TerminologyCapabilities.translation,0,1,BackboneElement
TerminologyCapabilities.translation.id,0,1,http://hl7.org/fhirpath/System.String
TerminologyCapabilities.translation.extension,0,*,Extension
TerminologyCapabilities.translation.modifierExtension,0,*,Extension
TerminologyCapabilities.translation.needsMap,1,1,boolean
TerminologyCapabilities.closure,0,1,BackboneElement
TerminologyCapabilities.closure.id,0,1,http://hl7.org/fhirpath/System.String
TerminologyCapabilities.closure.extension,0,*,Extension
TerminologyCapabilities.closure.modifierExtension,0,*,Extension
TerminologyCapabilities.closure.translation,0,1,boolean
