path,min,max,type
TestPlan.id,0,1,http://hl7.org/fhirpath/System.String
TestPlan.meta,0,1,Meta
TestPlan.implicitRules,0,1,uri
TestPlan.language,0,1,code
TestPlan.text,0,1,Narrative
TestPlan.contained,0,*,Resource
TestPlan.extension,0,*,Extension
TestPlan.modifierExtension,0,*,Extension
TestPlan.url,0,1,uri
TestPlan.identifier,0,*,Identifier
TestPlan.version,0,*,string
TestPlan.name,0,*,string
TestPlan.title,0,*,string
TestPlan.status,0,*,code
TestPlan.date,0,*,dateTime
TestPlan.publisher,0,*,string
TestPlan.contact,0,*,ContactDetail
TestPlan.description,0,1,markdown
TestPlan.jurisdiction,0,*,CodeableConcept
TestPlan.purpose,0,1,markdown
TestPlan.copyright,0,1,markdown
TestPlan.category,0,*,CodeableConcept
TestPlan.scope,0,*,Reference
TestPlan.testTools,0,1,markdown
TestPlan.dependencies,0,*,BackboneElement
TestPlan.dependencies.id,0,1,http://hl7.org/fhirpath/System.String
TestPlan.dependencies.extension,0,*,Extension
TestPlan.dependencies.modifierExtension,0,*,Extension
TestPlan.dependencies.description,0,1,markdown
TestPlan.dependencies.predecessor,0,1,Reference
TestPlan.exitCriteria,0,1,markdown
TestPlan.testCase,0,*,BackboneElement
TestPlan.testCase.id,0,1,http://hl7.org/fhirpath/System.String
TestPlan.testCase.extension,0,*,Extension
TestPlan.testCase.modifierExtension,0,*,Extension
TestPlan.testCase.sequence,0,1,integer
TestPlan.testCase.scope,0,*,Reference
TestPlan.testCase.dependencies,0,*,BackboneElement
TestPlan.testCase.dependencies.id,0,1,http://hl7.org/fhirpath/System.String
TestPlan.testCase.dependencies.extension,0,*,Extension
TestPlan.testCase.dependencies.modifierExtension,0,*,Extension
TestPlan.testCase.dependencies.description,0,1,markdown
TestPlan.testCase.dependencies.predecessor,0,1,Reference
TestPlan.testCase.testRun,0,*,Reference
TestPlan.testCase.testRun.narrative,0,1,markdown
TestPlan.testCase.testRun.script,0,1,BackboneElement
TestPlan.testCase.testRun.script.id,0,1,http://hl7.org/fhirpath/System.String
TestPlan.testCase.testRun.script.extension,0,*,Extension
TestPlan.testCase.testRun.script.modifierExtension,0,*,Extension
TestPlan.testCase.testRun.script.language,0,1,CodeableConcept
TestPlan.testCase.testRun.script.source[x],0,1,string;Reference
TestPlan.testCase.testData,0,*,BackboneElement
TestPlan.testCase.testData.id,0,1,http://hl7.org/fhirpath/System.String
TestPlan.testCase.testData.extension,0,*,Extension
TestPlan.testCase.testData.modifierExtension,0,*,Extension
TestPlan.testCase.testData.type,1,1,Coding
TestPlan.testCase.testData.content,0,1,Reference
TestPlan.testCase.testData.source[x],0,1,string;Reference
TestPlan.testCase.assertions,0,*,BackboneElement
TestPlan.testCase.assertions.id,0,1,http://hl7.org/fhirpath/System.String
TestPlan.testCase.assertions.extension,0,*,Extension
TestPlan.testCase.assertions.modifierExtension,0,*,Extension
TestPlan.testCase.assertions.type,0,*,CodeableConcept
TestPlan.testCase.assertions.object,0,*,CodeableReference
TestPlan.testCase.assertions.result,0,*,CodeableReference
