path,min,max,type
TestReport.id,0,1,http://hl7.org/fhirpath/System.String
TestReport.meta,0,1,Meta
TestReport.implicitRules,0,1,uri
TestReport.language,0,1,code
TestReport.text,0,1,Narrative
TestReport.contained,0,*,Resource
TestReport.extension,0,*,Extension
TestReport.modifierExtension,0,*,Extension
TestReport.identifier,0,1,Identifier
TestReport.name,0,1,string
TestReport.status,1,1,code
TestReport.testScript,1,1,canonical
TestReport.result,1,1,code
TestReport.score,0,1,decimal
TestReport.tester,0,1,string
TestReport.issued,0,1,dateTime
TestReport.participant,0,*,BackboneElement
TestReport.participant.id,0,1,http://hl7.org/fhirpath/System.String
TestReport.participant.extension,0,*,Extension
TestReport.participant.modifierExtension,0,*,Extension
TestReport.participant.type,1,1,code
TestReport.participant.uri,1,1,uri
TestReport.participant.display,0,1,string
TestReport.setup,0,1,BackboneElement
TestReport.setup.id,0,1,http://hl7.org/fhirpath/System.String
TestReport.setup.extension,0,*,Extension
TestReport.setup.modifierExtension,0,*,Extension
TestReport.setup.action,1,*,BackboneElement
TestReport.setup.action.id,0,1,http://hl7.org/fhirpath/System.String
TestReport.setup.action.extension,0,*,Extension
TestReport.setup.action.modifierExtension,0,*,Extension
TestReport.setup.action.operation,0,1,BackboneElement
TestReport.setup.action.operation.id,0,1,http://hl7.org/fhirpath/System.String
TestReport.setup.action.operation.extension,0,*,Extension
TestReport.setup.action.operation.modifierExtension,0,*,Extension
TestReport.setup.action.operation.result,1,1,code
TestReport.setup.action.operation.message,0,1,markdown
TestReport.setup.action.operation.detail,0,1,uri
TestReport.setup.action.assert,0,1,BackboneElement
TestReport.setup.action.assert.id,0,1,http://hl7.org/fhirpath/System.String
TestReport.setup.action.assert.extension,0,*,Extension
TestReport.setup.action.assert.modifierExtension,0,*,Extension
TestReport.setup.action.assert.result,1,1,code
TestReport.setup.action.assert.message,0,1,markdown
TestReport.setup.action.assert.detail,0,1,string
TestReport.setup.action.assert.requirement,0,*,BackboneElement
TestReport.setup.action.assert.requirement.id,0,1,http://hl7.org/fhirpath/System.String
TestReport.setup.action.assert.requirement.extension,0,*,Extension
TestReport.setup.action.assert.requirement.modifierExtension,0,*,Extension
TestReport.setup.action.assert.requirement.link[x],0,1,uri;canonical
TestReport.test,0,*,BackboneElement
TestReport.test.id,0,1,http://hl7.org/fhirpath/System.String
TestReport.test.extension,0,*,Extension
TestReport.test.modifierExtension,0,*,Extension
TestReport.test.name,0,1,string
TestReport.test.description,0,1,string
TestReport.test.action,1,*,BackboneElement
TestReport.test.action.id,0,1,http://hl7.org/fhirpath/System.String
TestReport.test.action.extension,0,*,Extension
TestReport.test.action.modifierExtension,0,*,Extension
TestReport.teardown,0,1,BackboneElement
TestReport.teardown.id,0,1,http://hl7.org/fhirpath/System.String
TestReport.teardown.extension,0,*,Extension
TestReport.teardown.modifierExtension,0,*,Extension
TestReport.teardown.action,1,*,BackboneElement
TestReport.teardown.action.id,0,1,http://hl7.org/fhirpath/System.String
TestReport.teardown.action.extension,0,*,Extension
TestReport.teardown.action.modifierExtension,0,*,Extension
