path,min,max,type
TestScript.id,0,1,http://hl7.org/fhirpath/System.String
TestScript.meta,0,1,Meta
TestScript.implicitRules,0,1,uri
TestScript.language,0,1,code
TestScript.text,0,1,Narrative
TestScript.contained,0,*,Resource
TestScript.extension,0,*,Extension
TestScript.modifierExtension,0,*,Extension
TestScript.url,0,1,uri
TestScript.identifier,0,*,Identifier
TestScript.version,0,1,string
TestScript.versionAlgorithm[x],0,1,string;Coding
TestScript.name,1,1,string
TestScript.title,0,1,string
TestScript.status,1,1,code
TestScript.experimental,0,1,boolean
TestScript.date,0,1,dateTime
TestScript.publisher,0,1,string
TestScript.contact,0,*,ContactDetail
TestScript.description,0,1,markdown
TestScript.useContext,0,*,UsageContext
TestScript.jurisdiction,0,*,CodeableConcept
TestScript.purpose,0,1,markdown
TestScript.copyright,0,1,markdown
TestScript.copyrightLabel,0,1,string
TestScript.origin,0,*,BackboneElement
TestScript.origin.id,0,1,http://hl7.org/fhirpath/System.String
TestScript.origin.extension,0,*,Extension
TestScript.origin.modifierExtension,0,*,Extension
TestScript.origin.index,1,1,integer
TestScript.origin.profile,1,1,Coding
TestScript.origin.url,0,1,url
TestScript.destination,0,*,BackboneElement
TestScript.destination.id,0,1,http://hl7.org/fhirpath/System.String
TestScript.destination.extension,0,*,Extension
TestScript.destination.modifierExtension,0,*,Extension
TestScript.destination.index,1,1,integer
TestScript.destination.profile,1,1,Coding
TestScript.destination.url,0,1,url
TestScript.metadata,0,1,BackboneElement
TestScript.metadata.id,0,1,http://hl7.org/fhirpath/System.String
TestScript.metadata.extension,0,*,Extension
TestScript.metadata.modifierExtension,0,*,Extension
TestScript.metadata.link,0,*,BackboneElement
TestScript.metadata.link.id,0,1,http://hl7.org/fhirpath/System.String
TestScript.metadata.link.extension,0,*,Extension
TestScript.metadata.link.modifierExtension,0,*,Extension
TestScript.metadata.link.url,1,1,uri
TestScript.metadata.link.description,0,1,string
TestScript.metadata.capability,1,*,BackboneElement
TestScript.metadata.capability.id,0,1,http://hl7.org/fhirpath/System.String
TestScript.metadata.capability.extension,0,*,Extension
TestScript.metadata.capability.modifierExtension,0,*,Extension
TestScript.metadata.capability.required,1,1,boolean
TestScript.metadata.capability.validated,1,1,boolean
TestScript.metadata.capability.description,0,1,string
TestScript.metadata.capability.origin,0,*,integer
TestScript.metadata.capability.destination,0,1,integer
TestScript.metadata.capability.link,0,*,uri
TestScript.metadata.capability.capabilities,1,1,canonical
TestScript.scope,0,*,BackboneElement
TestScript.scope.id,0,1,http://hl7.org/fhirpath/System.String
TestScript.scope.extension,0,*,Extension
TestScript.scope.modifierExtension,0,*,Extension
TestScript.scope.artifact,1,1,canonical
TestScript.scope.conformance,0,1,CodeableConcept
TestScript.scope.phase,0,1,CodeableConcept
TestScript.fixture,0,*,BackboneElement
TestScript.fixture.id,0,1,http://hl7.org/fhirpath/System.String
TestScript.fixture.extension,0,*,Extension
TestScript.fixture.modifierExtension,0,*,Extension
TestScript.fixture.autocreate,1,1,boolean
TestScript.fixture.autodelete,1,1,boolean
TestScript.fixture.resource,0,1,Reference
TestScript.profile,0,*,canonical
