path,min,max,type
Transport.id,0,1,http://hl7.org/fhirpath/System.String
Transport.meta,0,1,Meta
Transport.implicitRules,0,1,uri
Transport.language,0,1,code
Transport.text,0,1,Narrative
Transport.contained,0,*,Resource
Transport.extension,0,*,Extension
Transport.modifierExtension,0,*,Extension
Transport.identifier,0,*,Identifier
Transport.instantiatesCanonical,0,1,canonical
Transport.instantiatesUri,0,1,uri
Transport.basedOn,0,*,Reference
Transport.groupIdentifier,0,1,Identifier
Transport.partOf,0,*,Reference
Transport.status,0,1,code
Transport.statusReason,0,1,CodeableConcept
Transport.intent,1,1,code
Transport.priority,0,1,code
Transport.code,0,1,CodeableConcept
Transport.description,0,1,string
Transport.focus,0,1,Reference
Transport.for,0,1,Reference
Transport.encounter,0,1,Reference
Transport.completionTime,0,1,dateTime
Transport.authoredOn,0,1,dateTime
Transport.lastModified,0,1,dateTime
Transport.requester,0,1,Reference
Transport.performerType,0,*,CodeableConcept
Transport.owner,0,1,Reference
Transport.location,0,1,Reference
Transport.insurance,0,*,Reference
Transport.note,0,*,Annotation
Transport.relevantHistory,0,*,Reference
Transport.restriction,0,1,BackboneElement
Transport.restriction.id,0,1,http://hl7.org/fhirpath/System.String
Transport.restriction.extension,0,*,Extension
Transport.restriction.modifierExtension,0,*,Extension
Transport.restriction.repetitions,0,1,positiveInt
Transport.restriction.period,0,1,Period
Transport.restriction.recipient,0,*,Reference
Transport.input,0,*,BackboneElement
Transport.input.id,0,1,http://hl7.org/fhirpath/System.String
Transport.input.extension,0,*,Extension
Transport.input.modifierExtension,0,*,Extension
Transport.input.type,1,1,CodeableConcept
Transport.input.value[x],1,1,base64Binary;boolean;canonical;code;date;dateTime;decimal;id;instant;integer;integer64;markdown;oid;positiveInt;string;time;unsignedInt;uri;url;uuid;Address;Age;Annotation;Attachment;CodeableConcept;CodeableReference;Coding;ContactPoint;Count;Distance;Duration;HumanName;Identifier;Money;Period;Quantity;Range;Ratio;RatioRange;Reference;SampledData;Signature;Timing;ContactDetail;DataRequirement;Expression;ParameterDefinition;RelatedArtifact;TriggerDefinition;UsageContext;Availability;ExtendedContactDetail;Dosage;Meta
Transport.output,0,*,BackboneElement
Transport.output.id,0,1,http://hl7.org/fhirpath/System.String
Transport.output.extension,0,*,Extension
Transport.output.modifierExtension,0,*,Extension
Transport.output.type,1,1,CodeableConcept
Transport.output.value[x],1,1,base64Binary;boolean;canonical;code;date;dateTime;decimal;id;instant;integer;integer64;markdown;oid;positiveInt;string;time;unsignedInt;uri;url;uuid;Address;Age;Annotation;Attachment;CodeableConcept;CodeableReference;Coding;ContactPoint;Count;Distance;Duration;HumanName;Identifier;Money;Period;Quantity;Range;Ratio;RatioRange;Reference;SampledData;Signature;Timing;ContactDetail;DataRequirement;Expression;ParameterDefinition;RelatedArtifact;TriggerDefinition;UsageContext;Availability;ExtendedContactDetail;Dosage;Meta
Transport.requestedLocation,1,1,Reference
Transport.currentLocation,1,1,Reference
Transport.reason,0,1,CodeableReference
Transport.history,0,1,Reference
