path,min,max,type
ValueSet.id,0,1,http://hl7.org/fhirpath/System.String
ValueSet.meta,0,1,Meta
ValueSet.implicitRules,0,1,uri
ValueSet.language,0,1,code
ValueSet.text,0,1,Narrative
ValueSet.contained,0,*,Resource
ValueSet.extension,0,*,Extension
ValueSet.modifierExtension,0,*,Extension
ValueSet.url,0,1,uri
ValueSet.identifier,0,*,Identifier
ValueSet.version,0,1,string
ValueSet.versionAlgorithm[x],0,1,string;Coding
ValueSet.name,0,1,string
ValueSet.title,0,1,string
ValueSet.status,1,1,code
ValueSet.experimental,0,1,boolean
ValueSet.date,0,1,dateTime
ValueSet.publisher,0,1,string
ValueSet.contact,0,*,ContactDetail
ValueSet.description,0,1,markdown
ValueSet.useContext,0,*,UsageContext
ValueSet.jurisdiction,0,*,CodeableConcept
ValueSet.immutable,0,1,boolean
ValueSet.purpose,0,1,markdown
ValueSet.copyright,0,1,markdown
ValueSet.copyrightLabel,0,1,string
ValueSet.approvalDate,0,1,date
ValueSet.lastReviewDate,0,1,date
ValueSet.effectivePeriod,0,1,Period
ValueSet.topic,0,*,CodeableConcept
ValueSet.author,0,*,ContactDetail
ValueSet.editor,0,*,ContactDetail
ValueSet.reviewer,0,*,ContactDetail
ValueSet.endorser,0,*,ContactDetail
ValueSet.relatedArtifact,0,*,RelatedArtifact
ValueSet.compose,0,1,BackboneElement
ValueSet.compose.id,0,1,http://hl7.org/fhirpath/System.String
ValueSet.compose.extension,0,*,Extension
ValueSet.compose.modifierExtension,0,*,Extension
ValueSet.compose.lockedDate,0,1,date
ValueSet.compose.inactive,0,1,boolean
ValueSet.compose.include,1,*,BackboneElement
ValueSet.compose.include.id,0,1,http://hl7.org/fhirpath/System.String
ValueSet.compose.include.extension,0,*,Extension
ValueSet.compose.include.modifierExtension,0,*,Extension
ValueSet.compose.include.system,0,1,uri
ValueSet.compose.include.version,0,1,string
ValueSet.compose.include.concept,0,*,BackboneElement
ValueSet.compose.include.concept.id,0,1,http://hl7.org/fhirpath/System.String
ValueSet.compose.include.concept.extension,0,*,Extension
ValueSet.compose.include.concept.modifierExtension,0,*,Extension
ValueSet.compose.include.concept.code,1,1,code
ValueSet.compose.include.concept.display,0,1,string
ValueSet.compose.include.concept.designation,0,*,BackboneElement
ValueSet.compose.include.concept.designation.id,0,1,http://hl7.org/fhirpath/System.String
ValueSet.compose.include.concept.designation.extension,0,*,Extension
ValueSet.compose.include.concept.designation.modifierExtension,0,*,Extension
ValueSet.compose.include.concept.designation.language,0,1,code
ValueSet.compose.include.concept.designation.use,0,1,Coding
ValueSet.compose.include.concept.designation.additionalUse,0,*,Coding
ValueSet.compose.include.concept.designation.value,1,1,string
ValueSet.compose.include.filter,0,*,BackboneElement
ValueSet.compose.include.filter.id,0,1,http://hl7.org/fhirpath/System.String
ValueSet.compose.include.filter.extension,0,*,Extension
ValueSet.compose.include.filter.modifierExtension,0,*,Extension
ValueSet.compose.include.filter.property,1,1,code
ValueSet.compose.include.filter.op,1,1,code
ValueSet.compose.include.filter.value,1,1,string
ValueSet.compose.include.valueSet,0,*,canonical
ValueSet.compose.include.copyright,0,1,string
ValueSet.compose.property,0,*,string
ValueSet.expansion,0,1,BackboneElement
ValueSet.expansion.id,0,1,http://hl7.org/fhirpath/System.String
ValueSet.expansion.extension,0,*,Extension
ValueSet.expansion.modifierExtension,0,*,Extension
ValueSet.expansion.identifier,0,1,uri
ValueSet.expansion.next,0,1,uri
ValueSet.expansion.timestamp,1,1,dateTime
ValueSet.expansion.total,0,1,integer
ValueSet.expansion.offset,0,1,integer
ValueSet.expansion.parameter,0,*,BackboneElement
ValueSet.expansion.parameter.id,0,1,http://hl7.org/fhirpath/System.String
ValueSet.expansion.parameter.extension,0,*,Extension
ValueSet.expansion.parameter.modifierExtension,0,*,Extension
ValueSet.expansion.parameter.name,1,1,string
ValueSet.expansion.parameter.value[x],0,1,string;boolean;integer;decimal;uri;code;dateTime
ValueSet.expansion.property,0,*,BackboneElement
ValueSet.expansion.property.id,0,1,http://hl7.org/fhirpath/System.String
ValueSet.expansion.property.extension,0,*,Extension
ValueSet.expansion.property.modifierExtension,0,*,Extension
ValueSet.expansion.property.code,1,1,code
ValueSet.expansion.property.uri,0,1,uri
ValueSet.expansion.contains,0,*,BackboneElement
ValueSet.expansion.contains.id,0,1,http://hl7.org/fhirpath/System.String
ValueSet.expansion.contains.extension,0,*,Extension
ValueSet.expansion.contains.modifierExtension,0,*,Extension
ValueSet.expansion.contains.system,0,1,uri
ValueSet.expansion.contains.abstract,0,1,boolean
ValueSet.expansion.contains.inactive,0,1,boolean
ValueSet.expansion.contains.version,0,1,string
ValueSet.expansion.contains.code,0,1,code
ValueSet.expansion.contains.display,0,1,string
ValueSet.expansion.contains.property,0,*,BackboneElement
ValueSet.expansion.contains.property.id,0,1,http://hl7.org/fhirpath/System.String
ValueSet.expansion.contains.property.extension,0,*,Extension
ValueSet.expansion.contains.property.modifierExtension,0,*,Extension
ValueSet.expansion.contains.property.code,1,1,code
ValueSet.expansion.contains.property.value[x],1,1,code;Coding;string;integer;boolean;dateTime;decimal
ValueSet.expansion.contains.property.subProperty,0,*,BackboneElement
ValueSet.expansion.contains.property.subProperty.id,0,1,http://hl7.org/fhirpath/System.String
ValueSet.expansion.contains.property.subProperty.extension,0,*,Extension
ValueSet.expansion.contains.property.subProperty.modifierExtension,0,*,Extension
ValueSet.expansion.contains.property.subProperty.code,1,1,code
ValueSet.expansion.contains.property.subProperty.value[x],1,1,code;Coding;string;integer;boolean;dateTime;decimal
ValueSet.scope,0,1,BackboneElement
ValueSet.scope.id,0,1,http://hl7.org/fhirpath/System.String
ValueSet.scope.extension,0,*,Extension
ValueSet.scope.modifierExtension,0,*,Extension
ValueSet.scope.inclusionCriteria,0,1,string
ValueSet.scope.exclusionCriteria,0,1,string
