path,min,max,type
VerificationResult.id,0,1,http://hl7.org/fhirpath/System.String
VerificationResult.meta,0,1,Meta
VerificationResult.implicitRules,0,1,uri
VerificationResult.language,0,1,code
VerificationResult.text,0,1,Narrative
VerificationResult.contained,0,*,Resource
VerificationResult.extension,0,*,Extension
VerificationResult.modifierExtension,0,*,Extension
VerificationResult.target,0,*,Reference
VerificationResult.targetLocation,0,*,string
VerificationResult.need,0,1,CodeableConcept
VerificationResult.status,1,1,code
VerificationResult.statusDate,0,1,dateTime
VerificationResult.validationType,0,1,CodeableConcept
VerificationResult.validationProcess,0,*,CodeableConcept
VerificationResult.frequency,0,1,Timing
VerificationResult.lastPerformed,0,1,dateTime
VerificationResult.nextScheduled,0,1,date
VerificationResult.failureAction,0,1,CodeableConcept
VerificationResult.primarySource,0,*,BackboneElement
VerificationResult.primarySource.id,0,1,http://hl7.org/fhirpath/System.String
VerificationResult.primarySource.extension,0,*,Extension
VerificationResult.primarySource.modifierExtension,0,*,Extension
VerificationResult.primarySource.who,0,1,Reference
VerificationResult.primarySource.type,0,*,CodeableConcept
VerificationResult.primarySource.communicationMethod,0,*,CodeableConcept
VerificationResult.primarySource.validationStatus,0,1,CodeableConcept
VerificationResult.primarySource.validationDate,0,1,dateTime
VerificationResult.primarySource.canPushUpdates,0,1,CodeableConcept
VerificationResult.primarySource.pushTypeAvailable,0,*,CodeableConcept
VerificationResult.attestation,0,1,BackboneElement
VerificationResult.attestation.id,0,1,http://hl7.org/fhirpath/System.String
VerificationResult.attestation.extension,0,*,Extension
VerificationResult.attestation.modifierExtension,0,*,Extension
VerificationResult.attestation.who,0,1,Reference
VerificationResult.attestation.onBehalfOf,0,1,Reference
VerificationResult.attestation.communicationMethod,0,1,CodeableConcept
VerificationResult.attestation.date,0,1,date
VerificationResult.attestation.sourceIdentityCertificate,0,1,string
VerificationResult.attestation.proxyIdentityCertificate,0,1,string
VerificationResult.attestation.proxySignature,0,1,Signature
VerificationResult.attestation.sourceSignature,0,1,Signature
VerificationResult.validator,0,*,BackboneElement
VerificationResult.validator.id,0,1,http://hl7.org/fhirpath/System.String
VerificationResult.validator.extension,0,*,Extension
VerificationResult.validator.modifierExtension,0,*,Extension
VerificationResult.validator.organization,1,1,Reference
VerificationResult.validator.identityCertificate,0,1,string
VerificationResult.validator.attestationSignature,0,1,Signature
