path,min,max,type
VisionPrescription.id,0,1,http://hl7.org/fhirpath/System.String
VisionPrescription.meta,0,1,Meta
VisionPrescription.implicitRules,0,1,uri
VisionPrescription.language,0,1,code
VisionPrescription.text,0,1,Narrative
VisionPrescription.contained,0,*,Resource
VisionPrescription.extension,0,*,Extension
VisionPrescription.modifierExtension,0,*,Extension
VisionPrescription.identifier,0,*,Identifier
VisionPrescription.status,1,1,code
VisionPrescription.created,1,1,dateTime
VisionPrescription.patient,1,1,Reference
VisionPrescription.encounter,0,1,Reference
VisionPrescription.dateWritten,1,1,dateTime
VisionPrescription.prescriber,1,1,Reference
VisionPrescription.lensSpecification,1,*,BackboneElement
VisionPrescription.lensSpecification.id,0,1,http://hl7.org/fhirpath/System.String
VisionPrescription.lensSpecification.extension,0,*,Extension
VisionPrescription.lensSpecification.modifierExtension,0,*,Extension
VisionPrescription.lensSpecification.product,1,1,CodeableConcept
VisionPrescription.lensSpecification.eye,1,1,code
VisionPrescription.lensSpecification.sphere,0,1,decimal
VisionPrescription.lensSpecification.cylinder,0,1,decimal
VisionPrescription.lensSpecification.axis,0,1,integer
VisionPrescription.lensSpecification.prism,0,*,BackboneElement
VisionPrescription.lensSpecification.prism.id,0,1,http://hl7.org/fhirpath/System.String
VisionPrescription.lensSpecification.prism.extension,0,*,Extension
VisionPrescription.lensSpecification.prism.modifierExtension,0,*,Extension
VisionPrescription.lensSpecification.prism.amount,1,1,decimal
VisionPrescription.lensSpecification.prism.base,1,1,code
VisionPrescription.lensSpecification.add,0,1,decimal
VisionPrescription.lensSpecification.power,0,1,decimal
VisionPrescription.lensSpecification.backCurve,0,1,decimal
VisionPrescription.lensSpecification.diameter,0,1,decimal
VisionPrescription.lensSpecification.duration,0,1,Quantity
VisionPrescription.lensSpecification.color,0,1,string
VisionPrescription.lensSpecification.brand,0,1,string
VisionPrescription.lensSpecification.note,0,*,Annotation
