path,min,max,type
Account.id,0,1,http://hl7.org/fhirpath/System.String
Account.meta,0,1,Meta
Account.implicitRules,0,1,uri
Account.language,0,1,code
Account.text,0,1,Narrative
Account.contained,0,*,Resource
Account.extension,0,*,Extension
Account.modifierExtension,0,*,Extension
Account.identifier,0,*,Identifier
Account.status,1,1,code
Account.billingStatus,0,1,CodeableConcept
Account.type,0,1,CodeableConcept
Account.name,0,1,string
Account.subject,0,*,Reference
Account.servicePeriod,0,1,Period
Account.coverage,0,*,BackboneElement
Account.coverage.id,0,1,http://hl7.org/fhirpath/System.String
Account.coverage.extension,0,*,Extension
Account.coverage.modifierExtension,0,*,Extension
Account.coverage.coverage,1,1,Reference
Account.coverage.priority,0,1,positiveInt
Account.owner,0,1,Reference
Account.description,0,1,markdown
Account.guarantor,0,*,BackboneElement
Account.guarantor.id,0,1,http://hl7.org/fhirpath/System.String
Account.guarantor.extension,0,*,Extension
Account.guarantor.modifierExtension,0,*,Extension
Account.guarantor.party,1,1,Reference
Account.guarantor.onHold,0,1,boolean
Account.guarantor.period,0,1,Period
Account.diagnosis,0,*,BackboneElement
Account.diagnosis.id,0,1,http://hl7.org/fhirpath/System.String
Account.diagnosis.extension,0,*,Extension
Account.diagnosis.modifierExtension,0,*,Extension
Account.diagnosis.sequence,0,1,positiveInt
Account.diagnosis.condition,1,1,CodeableReference
Account.diagnosis.dateOfDiagnosis,0,1,dateTime
Account.diagnosis.type,0,*,CodeableConcept
Account.diagnosis.onAdmission,0,1,boolean
Account.diagnosis.packageCode,0,*,CodeableConcept
Account.procedure,0,*,BackboneElement
Account.procedure.id,0,1,http://hl7.org/fhirpath/System.String
Account.procedure.extension,0,*,Extension
Account.procedure.modifierExtension,0,*,Extension
Account.procedure.sequence,0,1,positiveInt
Account.procedure.code,1,1,CodeableReference
Account.procedure.dateOfService,0,1,dateTime
Account.procedure.type,0,*,CodeableConcept
Account.procedure.packageCode,0,*,CodeableConcept
Account.procedure.device,0,*,Reference
Account.relatedAccount,0,*,BackboneElement
Account.relatedAccount.id,0,1,http://hl7.org/fhirpath/System.String
Account.relatedAccount.extension,0,*,Extension
Account.relatedAccount.modifierExtension,0,*,Extension
Account.relatedAccount.relationship,0,1,CodeableConcept
Account.relatedAccount.account,1,1,Reference
Account.currency,0,1,CodeableConcept
Account.balance,0,*,BackboneElement
Account.balance.id,0,1,http://hl7.org/fhirpath/System.String
Account.balance.extension,0,*,Extension
Account.balance.modifierExtension,0,*,Extension
Account.balance.aggregate,0,1,CodeableConcept
Account.balance.term,0,1,CodeableConcept
Account.balance.estimate,0,1,boolean
Account.balance.amount,1,1,Money
Account.calculatedAt,0,1,instant
