path,min,max,type
ActivityDefinition.id,0,1,http://hl7.org/fhirpath/System.String
ActivityDefinition.meta,0,1,Meta
ActivityDefinition.implicitRules,0,1,uri
ActivityDefinition.language,0,1,code
ActivityDefinition.text,0,1,Narrative
ActivityDefinition.contained,0,*,Resource
ActivityDefinition.extension,0,*,Extension
ActivityDefinition.modifierExtension,0,*,Extension
ActivityDefinition.url,0,1,uri
ActivityDefinition.identifier,0,*,Identifier
ActivityDefinition.version,0,1,string
ActivityDefinition.versionAlgorithm[x],0,1,string;Coding
ActivityDefinition.name,0,1,string
ActivityDefinition.title,0,1,string
ActivityDefinition.subtitle,0,1,string
ActivityDefinition.status,1,1,code
ActivityDefinition.experimental,0,1,boolean
ActivityDefinition.subject[x],0,1,CodeableConcept;Reference;canonical
ActivityDefinition.date,0,1,dateTime
ActivityDefinition.publisher,0,1,string
ActivityDefinition.contact,0,*,ContactDetail
ActivityDefinition.description,0,1,markdown
ActivityDefinition.useContext,0,*,UsageContext
ActivityDefinition.jurisdiction,0,*,CodeableConcept
ActivityDefinition.purpose,0,1,markdown
ActivityDefinition.usage,0,1,markdown
ActivityDefinition.copyright,0,1,markdown
ActivityDefinition.copyrightLabel,0,1,string
ActivityDefinition.approvalDate,0,1,date
ActivityDefinition.lastReviewDate,0,1,date
ActivityDefinition.effectivePeriod,0,1,Period
ActivityDefinition.topic,0,*,CodeableConcept
ActivityDefinition.author,0,*,ContactDetail
ActivityDefinition.editor,0,*,ContactDetail
ActivityDefinition.reviewer,0,*,ContactDetail
ActivityDefinition.endorser,0,*,ContactDetail
ActivityDefinition.relatedArtifact,0,*,RelatedArtifact
ActivityDefinition.library,0,*,canonical
ActivityDefinition.kind,0,1,code
ActivityDefinition.profile,0,1,canonical
ActivityDefinition.code,0,1,CodeableConcept
ActivityDefinition.intent,0,1,code
ActivityDefinition.priority,0,1,code
ActivityDefinition.doNotPerform,0,1,boolean
ActivityDefinition.timing[x],0,1,Timing;Age;Range;Duration
ActivityDefinition.asNeeded[x],0,1,boolean;CodeableConcept
ActivityDefinition.location,0,1,CodeableReference
ActivityDefinition.participant,0,*,BackboneElement
ActivityDefinition.participant.id,0,1,http://hl7.org/fhirpath/System.String
ActivityDefinition.participant.extension,0,*,Extension
ActivityDefinition.participant.modifierExtension,0,*,Extension
ActivityDefinition.participant.type,0,1,code
ActivityDefinition.participant.typeCanonical,0,1,canonical
ActivityDefinition.participant.typeReference,0,1,Reference
ActivityDefinition.participant.role,0,1,CodeableConcept
ActivityDefinition.participant.function,0,1,CodeableConcept
ActivityDefinition.product[x],0,1,Reference;CodeableConcept
ActivityDefinition.quantity,0,1,Quantity
ActivityDefinition.dosage,0,*,Dosage
ActivityDefinition.bodySite,0,*,CodeableConcept
ActivityDefinition.specimenRequirement,0,*,canonical
ActivityDefinition.observationRequirement,0,*,canonical
ActivityDefinition.observationResultRequirement,0,*,canonical
ActivityDefinition.transform,0,1,canonical
ActivityDefinition.dynamicValue,0,*,BackboneElement
ActivityDefinition.dynamicValue.id,0,1,http://hl7.org/fhirpath/System.String
ActivityDefinition.dynamicValue.extension,0,*,Extension
ActivityDefinition.dynamicValue.modifierExtension,0,*,Extension
ActivityDefinition.dynamicValue.path,1,1,string
ActivityDefinition.dynamicValue.expression,1,1,Expression
