path,min,max,type
ActorDefinition.id,0,1,http://hl7.org/fhirpath/System.String
ActorDefinition.meta,0,1,Meta
ActorDefinition.implicitRules,0,1,uri
ActorDefinition.language,0,1,code
ActorDefinition.text,0,1,Narrative
ActorDefinition.contained,0,*,Resource
ActorDefinition.extension,0,*,Extension
ActorDefinition.modifierExtension,0,*,Extension
ActorDefinition.url,0,1,uri
ActorDefinition.identifier,0,*,Identifier
ActorDefinition.version,0,1,string
ActorDefinition.name,0,1,string
ActorDefinition.title,0,1,string
ActorDefinition.status,1,1,code
ActorDefinition.experimental,0,1,boolean
ActorDefinition.date,0,1,dateTime
ActorDefinition.publisher,0,1,string
ActorDefinition.contact,0,*,ContactDetail
ActorDefinition.description,0,1,markdown
ActorDefinition.useContext,0,*,UsageContext
ActorDefinition.jurisdiction,0,*,CodeableConcept
ActorDefinition.purpose,0,1,markdown
ActorDefinition.copyright,0,1,markdown
ActorDefinition.copyrightLabel,0,1,string
ActorDefinition.type,1,1,code
ActorDefinition.documentation,0,1,markdown
ActorDefinition.reference,0,*,url
ActorDefinition.capabilities,0,1,canonical
ActorDefinition.derivedFrom,0,*,canonical
