path,min,max,type
AdministrableProductDefinition.id,0,1,http://hl7.org/fhirpath/System.String
AdministrableProductDefinition.meta,0,1,Meta
AdministrableProductDefinition.implicitRules,0,1,uri
AdministrableProductDefinition.language,0,1,code
AdministrableProductDefinition.text,0,1,Narrative
AdministrableProductDefinition.contained,0,*,Resource
AdministrableProductDefinition.extension,0,*,Extension
AdministrableProductDefinition.modifierExtension,0,*,Extension
AdministrableProductDefinition.identifier,0,*,Identifier
AdministrableProductDefinition.status,1,1,code
AdministrableProductDefinition.formOf,0,*,Reference
AdministrableProductDefinition.administrableDoseForm,0,1,CodeableConcept
AdministrableProductDefinition.unitOfPresentation,0,1,CodeableConcept
AdministrableProductDefinition.producedFrom,0,*,Reference
AdministrableProductDefinition.ingredient,0,*,CodeableConcept
AdministrableProductDefinition.device,0,1,Reference
AdministrableProductDefinition.description,0,1,markdown
AdministrableProductDefinition.property,0,*,BackboneElement
AdministrableProductDefinition.property.id,0,1,http://hl7.org/fhirpath/System.String
AdministrableProductDefinition.property.extension,0,*,Extension
AdministrableProductDefinition.property.modifierExtension,0,*,Extension
AdministrableProductDefinition.property.type,1,1,CodeableConcept
AdministrableProductDefinition.property.value[x],0,1,CodeableConcept;Quantity;date;boolean;markdown;Attachment;Reference
AdministrableProductDefinition.property.status,0,1,CodeableConcept
AdministrableProductDefinition.routeOfAdministration,1,*,BackboneElement
AdministrableProductDefinition.routeOfAdministration.id,0,1,http://hl7.org/fhirpath/System.String
AdministrableProductDefinition.routeOfAdministration.extension,0,*,Extension
AdministrableProductDefinition.routeOfAdministration.modifierExtension,0,*,Extension
AdministrableProductDefinition.routeOfAdministration.code,1,1,CodeableConcept
AdministrableProductDefinition.routeOfAdministration.firstDose,0,1,Quantity
AdministrableProductDefinition.routeOfAdministration.maxSingleDose,0,1,Quantity
AdministrableProductDefinition.routeOfAdministration.maxDosePerDay,0,1,Quantity
AdministrableProductDefinition.routeOfAdministration.maxDosePerTreatmentPeriod,0,1,Ratio
AdministrableProductDefinition.routeOfAdministration.maxTreatmentPeriod,0,1,Duration
AdministrableProductDefinition.routeOfAdministration.targetSpecies,0,*,BackboneElement
AdministrableProductDefinition.routeOfAdministration.targetSpecies.id,0,1,http://hl7.org/fhirpath/System.String
AdministrableProductDefinition.routeOfAdministration.targetSpecies.extension,0,*,Extension
AdministrableProductDefinition.routeOfAdministration.targetSpecies.modifierExtension,0,*,Extension
AdministrableProductDefinition.routeOfAdministration.targetSpecies.code,1,1,CodeableConcept
AdministrableProductDefinition.routeOfAdministration.targetSpecies.withdrawalPeriod,0,*,BackboneElement
AdministrableProductDefinition.routeOfAdministration.targetSpecies.withdrawalPeriod.id,0,1,http://hl7.org/fhirpath/System.String
AdministrableProductDefinition.routeOfAdministration.targetSpecies.withdrawalPeriod.extension,0,*,Extension
AdministrableProductDefinition.routeOfAdministration.targetSpecies.withdrawalPeriod.modifierExtension,0,*,Extension
AdministrableProductDefinition.routeOfAdministration.targetSpecies.withdrawalPeriod.tissue,1,1,CodeableConcept
AdministrableProductDefinition.routeOfAdministration.targetSpecies.withdrawalPeriod.value,1,1,Quantity
AdministrableProductDefinition.routeOfAdministration.targetSpecies.withdrawalPeriod.supportingInformation,0,1,string
