path,min,max,type
AdverseEvent.id,0,1,http://hl7.org/fhirpath/System.String
AdverseEvent.meta,0,1,Meta
AdverseEvent.implicitRules,0,1,uri
AdverseEvent.language,0,1,code
AdverseEvent.text,0,1,Narrative
AdverseEvent.contained,0,*,Resource
AdverseEvent.extension,0,*,Extension
AdverseEvent.modifierExtension,0,*,Extension
AdverseEvent.identifier,0,*,Identifier
AdverseEvent.status,1,1,code
AdverseEvent.actuality,1,1,code
AdverseEvent.category,0,*,CodeableConcept
AdverseEvent.code,0,1,CodeableConcept
AdverseEvent.subject,1,1,Reference
AdverseEvent.encounter,0,1,Reference
AdverseEvent.occurrence[x],0,1,dateTime;Period;Timing
AdverseEvent.detected,0,1,dateTime
AdverseEvent.recordedDate,0,1,dateTime
AdverseEvent.resultingEffect,0,*,Reference
AdverseEvent.location,0,1,Reference
AdverseEvent.seriousness,0,1,CodeableConcept
AdverseEvent.outcome,0,*,CodeableConcept
AdverseEvent.recorder,0,1,Reference
AdverseEvent.participant,0,*,BackboneElement
AdverseEvent.participant.id,0,1,http://hl7.org/fhirpath/System.String
AdverseEvent.participant.extension,0,*,Extension
AdverseEvent.participant.modifierExtension,0,*,Extension
AdverseEvent.participant.function,0,1,CodeableConcept
AdverseEvent.participant.actor,1,1,Reference
AdverseEvent.study,0,*,Reference
AdverseEvent.expectedInResearchStudy,0,1,boolean
AdverseEvent.suspectEntity,0,*,BackboneElement
AdverseEvent.suspectEntity.id,0,1,http://hl7.org/fhirpath/System.String
AdverseEvent.suspectEntity.extension,0,*,Extension
AdverseEvent.suspectEntity.modifierExtension,0,*,Extension
AdverseEvent.suspectEntity.instance[x],1,1,CodeableConcept;Reference
AdverseEvent.suspectEntity.causality,0,1,BackboneElement
AdverseEvent.suspectEntity.causality.id,0,1,http://hl7.org/fhirpath/System.String
AdverseEvent.suspectEntity.causality.extension,0,*,Extension
AdverseEvent.suspectEntity.causality.modifierExtension,0,*,Extension
AdverseEvent.suspectEntity.causality.assessmentMethod,0,1,CodeableConcept
AdverseEvent.suspectEntity.causality.entityRelatedness,0,1,CodeableConcept
AdverseEvent.suspectEntity.causality.author,0,1,Reference
AdverseEvent.contributingFactor,0,*,BackboneElement
AdverseEvent.contributingFactor.id,0,1,http://hl7.org/fhirpath/System.String
AdverseEvent.contributingFactor.extension,0,*,Extension
AdverseEvent.contributingFactor.modifierExtension,0,*,Extension
AdverseEvent.contributingFactor.item[x],1,1,Reference;CodeableConcept
AdverseEvent.preventiveAction,0,*,BackboneElement
AdverseEvent.preventiveAction.id,0,1,http://hl7.org/fhirpath/System.String
AdverseEvent.preventiveAction.extension,0,*,Extension
AdverseEvent.preventiveAction.modifierExtension,0,*,Extension
AdverseEvent.preventiveAction.item[x],1,1,Reference;CodeableConcept
AdverseEvent.mitigatingAction,0,*,BackboneElement
AdverseEvent.mitigatingAction.id,0,1,http://hl7.org/fhirpath/System.String
AdverseEvent.mitigatingAction.extension,0,*,Extension
AdverseEvent.mitigatingAction.modifierExtension,0,*,Extension
AdverseEvent.mitigatingAction.item[x],1,1,Reference;CodeableConcept
AdverseEvent.supportingInfo,0,*,BackboneElement
AdverseEvent.supportingInfo.id,0,1,http://hl7.org/fhirpath/System.String
AdverseEvent.supportingInfo.extension,0,*,Extension
AdverseEvent.supportingInfo.modifierExtension,0,*,Extension
AdverseEvent.supportingInfo.item[x],1,1,Reference;CodeableConcept
AdverseEvent.note,0,*,Annotation
