path,min,max,type
AllergyIntolerance.id,0,1,http://hl7.org/fhirpath/System.String
AllergyIntolerance.meta,0,1,Meta
AllergyIntolerance.implicitRules,0,1,uri
AllergyIntolerance.language,0,1,code
AllergyIntolerance.text,0,1,Narrative
AllergyIntolerance.contained,0,*,Resource
AllergyIntolerance.extension,0,*,Extension
AllergyIntolerance.modifierExtension,0,*,Extension
AllergyIntolerance.identifier,0,*,Identifier
AllergyIntolerance.clinicalStatus,0,1,CodeableConcept
AllergyIntolerance.verificationStatus,0,1,CodeableConcept
AllergyIntolerance.type,0,1,CodeableConcept
AllergyIntolerance.category,0,*,code
AllergyIntolerance.criticality,0,1,code
AllergyIntolerance.code,0,1,CodeableConcept
AllergyIntolerance.patient,1,1,Reference
AllergyIntolerance.encounter,0,1,Reference
AllergyIntolerance.onset[x],0,1,dateTime;Age;Period;Range;string
AllergyIntolerance.recordedDate,0,1,dateTime
AllergyIntolerance.participant,0,*,BackboneElement
AllergyIntolerance.participant.id,0,1,http://hl7.org/fhirpath/System.String
AllergyIntolerance.participant.extension,0,*,Extension
AllergyIntolerance.participant.modifierExtension,0,*,Extension
AllergyIntolerance.participant.function,0,1,CodeableConcept
AllergyIntolerance.participant.actor,1,1,Reference
AllergyIntolerance.lastOccurrence,0,1,dateTime
AllergyIntolerance.note,0,*,Annotation
AllergyIntolerance.reaction,0,*,BackboneElement
AllergyIntolerance.reaction.id,0,1,http://hl7.org/fhirpath/System.String
AllergyIntolerance.reaction.extension,0,*,Extension
AllergyIntolerance.reaction.modifierExtension,0,*,Extension
AllergyIntolerance.reaction.substance,0,1,CodeableConcept
AllergyIntolerance.reaction.manifestation,1,*,CodeableReference
AllergyIntolerance.reaction.description,0,1,string
AllergyIntolerance.reaction.onset,0,1,dateTime
AllergyIntolerance.reaction.severity,0,1,code
AllergyIntolerance.reaction.exposureRoute,0,1,CodeableConcept
AllergyIntolerance.reaction.note,0,*,Annotation
