path,min,max,type
Appointment.id,0,1,http://hl7.org/fhirpath/System.String
Appointment.meta,0,1,Meta
Appointment.implicitRules,0,1,uri
Appointment.language,0,1,code
Appointment.text,0,1,Narrative
Appointment.contained,0,*,Resource
Appointment.extension,0,*,Extension
Appointment.modifierExtension,0,*,Extension
Appointment.identifier,0,*,Identifier
Appointment.status,1,1,code
Appointment.cancellationReason,0,1,CodeableConcept
Appointment.class,0,*,CodeableConcept
Appointment.serviceCategory,0,*,CodeableConcept
Appointment.serviceType,0,*,CodeableReference
Appointment.specialty,0,*,CodeableConcept
Appointment.appointmentType,0,1,CodeableConcept
Appointment.reason,0,*,CodeableReference
Appointment.priority,0,1,CodeableConcept
Appointment.description,0,1,string
Appointment.replaces,0,*,Reference
Appointment.virtualService,0,*,VirtualServiceDetail
Appointment.supportingInformation,0,*,Reference
Appointment.previousAppointment,0,1,Reference
Appointment.originatingAppointment,0,1,Reference
Appointment.start,0,1,instant
Appointment.end,0,1,instant
Appointment.minutesDuration,0,1,positiveInt
Appointment.requestedPeriod,0,*,Period
Appointment.slot,0,*,Reference
Appointment.account,0,*,Reference
Appointment.created,0,1,dateTime
Appointment.cancellationDate,0,1,dateTime
Appointment.note,0,*,Annotation
Appointment.patientInstruction,0,*,CodeableReference
Appointment.basedOn,0,*,Reference
Appointment.subject,0,1,Reference
Appointment.participant,1,*,BackboneElement
Appointment.participant.id,0,1,http://hl7.org/fhirpath/System.String
Appointment.participant.extension,0,*,Extension
Appointment.participant.modifierExtension,0,*,Extension
Appointment.participant.type,0,*,CodeableConcept
Appointment.participant.period,0,1,Period
Appointment.participant.actor,0,1,Reference
Appointment.participant.required,0,1,boolean
Appointment.participant.status,1,1,code
Appointment.recurrenceId,0,1,positiveInt
Appointment.occurrenceChanged,0,1,boolean
Appointment.recurrenceTemplate,0,*,BackboneElement
Appointment.recurrenceTemplate.id,0,1,http://hl7.org/fhirpath/System.String
Appointment.recurrenceTemplate.extension,0,*,Extension
Appointment.recurrenceTemplate.modifierExtension,0,*,Extension
Appointment.recurrenceTemplate.timezone,0,1,CodeableConcept
Appointment.recurrenceTemplate.recurrenceType,1,1,CodeableConcept
Appointment.recurrenceTemplate.lastOccurrenceDate,0,1,date
Appointment.recurrenceTemplate.occurrenceCount,0,1,positiveInt
Appointment.recurrenceTemplate.occurrenceDate,0,*,date
Appointment.recurrenceTemplate.weeklyTemplate,0,1,BackboneElement
Appointment.recurrenceTemplate.weeklyTemplate.id,0,1,http://hl7.org/fhirpath/System.String
Appointment.recurrenceTemplate.weeklyTemplate.extension,0,*,Extension
Appointment.recurrenceTemplate.weeklyTemplate.modifierExtension,0,*,Extension
Appointment.recurrenceTemplate.weeklyTemplate.monday,0,1,boolean
Appointment.recurrenceTemplate.weeklyTemplate.tuesday,0,1,boolean
Appointment.recurrenceTemplate.weeklyTemplate.wednesday,0,1,boolean
Appointment.recurrenceTemplate.weeklyTemplate.thursday,0,1,boolean
Appointment.recurrenceTemplate.weeklyTemplate.friday,0,1,boolean
Appointment.recurrenceTemplate.weeklyTemplate.saturday,0,1,boolean
Appointment.recurrenceTemplate.weeklyTemplate.sunday,0,1,boolean
Appointment.recurrenceTemplate.weeklyTemplate.weekInterval,0,1,positiveInt
Appointment.recurrenceTemplate.monthlyTemplate,0,1,BackboneElement
Appointment.recurrenceTemplate.monthlyTemplate.id,0,1,http://hl7.org/fhirpath/System.String
Appointment.recurrenceTemplate.monthlyTemplate.extension,0,*,Extension
Appointment.recurrenceTemplate.monthlyTemplate.modifierExtension,0,*,Extension
Appointment.recurrenceTemplate.monthlyTemplate.dayOfMonth,0,1,positiveInt
Appointment.recurrenceTemplate.monthlyTemplate.nthWeekOfMonth,0,1,Coding
Appointment.recurrenceTemplate.monthlyTemplate.dayOfWeek,0,1,Coding
Appointment.recurrenceTemplate.monthlyTemplate.monthInterval,1,1,positiveInt
Appointment.recurrenceTemplate.yearlyTemplate,0,1,BackboneElement
Appointment.recurrenceTemplate.yearlyTemplate.id,0,1,http://hl7.org/fhirpath/System.String
Appointment.recurrenceTemplate.yearlyTemplate.extension,0,*,Extension
Appointment.recurrenceTemplate.yearlyTemplate.modifierExtension,0,*,Extension
Appointment.recurrenceTemplate.yearlyTemplate.yearInterval,1,1,positiveInt
Appointment.recurrenceTemplate.excludingDate,0,*,date
Appointment.recurrenceTemplate.excludingRecurrenceId,0,*,positiveInt
