path,min,max,type
AppointmentResponse.id,0,1,http://hl7.org/fhirpath/System.String
AppointmentResponse.meta,0,1,Meta
AppointmentResponse.implicitRules,0,1,uri
AppointmentResponse.language,0,1,code
AppointmentResponse.text,0,1,Narrative
AppointmentResponse.contained,0,*,Resource
AppointmentResponse.extension,0,*,Extension
AppointmentResponse.modifierExtension,0,*,Extension
AppointmentResponse.identifier,0,*,Identifier
AppointmentResponse.appointment,1,1,Reference
AppointmentResponse.proposedNewTime,0,1,boolean
AppointmentResponse.start,0,1,instant
AppointmentResponse.end,0,1,instant
AppointmentResponse.participantType,0,*,CodeableConcept
AppointmentResponse.actor,0,1,Reference
AppointmentResponse.participantStatus,1,1,code
AppointmentResponse.comment,0,1,markdown
AppointmentResponse.recurring,0,1,boolean
AppointmentResponse.occurrenceDate,0,1,date
AppointmentResponse.recurrenceId,0,1,positiveInt
