path,min,max,type
ArtifactAssessment.id,0,1,http://hl7.org/fhirpath/System.String
ArtifactAssessment.meta,0,1,Meta
ArtifactAssessment.implicitRules,0,1,uri
ArtifactAssessment.language,0,1,code
ArtifactAssessment.text,0,1,Narrative
ArtifactAssessment.contained,0,*,Resource
ArtifactAssessment.extension,0,*,Extension
ArtifactAssessment.modifierExtension,0,*,Extension
ArtifactAssessment.identifier,0,*,Identifier
ArtifactAssessment.title,0,1,string
ArtifactAssessment.citeAs[x],0,1,Reference;markdown
ArtifactAssessment.date,0,1,dateTime
ArtifactAssessment.copyright,0,1,markdown
ArtifactAssessment.approvalDate,0,1,date
ArtifactAssessment.lastReviewDate,0,1,date
ArtifactAssessment.artifact[x],1,1,Reference;canonical;uri
ArtifactAssessment.content,0,*,BackboneElement
ArtifactAssessment.content.id,0,1,http://hl7.org/fhirpath/System.String
ArtifactAssessment.content.extension,0,*,Extension
ArtifactAssessment.content.modifierExtension,0,*,Extension
ArtifactAssessment.content.informationType,0,1,code
ArtifactAssessment.content.summary,0,1,markdown
ArtifactAssessment.content.type,0,1,CodeableConcept
ArtifactAssessment.content.classifier,0,*,CodeableConcept
ArtifactAssessment.content.author,0,1,Reference
ArtifactAssessment.content.path,0,*,uri
ArtifactAssessment.content.relatedArtifact,0,*,RelatedArtifact
ArtifactAssessment.content.freeToShare,0,1,boolean
ArtifactAssessment.workflowStatus,0,1,code
ArtifactAssessment.disposition,0,1,code
