path,min,max,type
AuditEvent.id,0,1,http://hl7.org/fhirpath/System.String
AuditEvent.meta,0,1,Meta
AuditEvent.implicitRules,0,1,uri
AuditEvent.language,0,1,code
AuditEvent.text,0,1,Narrative
AuditEvent.contained,0,*,Resource
AuditEvent.extension,0,*,Extension
AuditEvent.modifierExtension,0,*,Extension
AuditEvent.category,0,*,CodeableConcept
AuditEvent.code,1,1,CodeableConcept
AuditEvent.action,0,1,code
AuditEvent.severity,0,1,code
AuditEvent.occurred[x],0,1,Period;dateTime
AuditEvent.recorded,1,1,instant
AuditEvent.outcome,0,1,BackboneElement
AuditEvent.outcome.id,0,1,http://hl7.org/fhirpath/System.String
AuditEvent.outcome.extension,0,*,Extension
AuditEvent.outcome.modifierExtension,0,*,Extension
AuditEvent.outcome.code,1,1,Coding
AuditEvent.outcome.detail,0,*,CodeableConcept
AuditEvent.authorization,0,*,CodeableConcept
AuditEvent.basedOn,0,*,Reference
AuditEvent.patient,0,1,Reference
AuditEvent.encounter,0,1,Reference
AuditEvent.agent,1,*,BackboneElement
AuditEvent.agent.id,0,1,http://hl7.org/fhirpath/System.String
AuditEvent.agent.extension,0,*,Extension
AuditEvent.agent.modifierExtension,0,*,Extension
AuditEvent.agent.type,0,1,CodeableConcept
AuditEvent.agent.role,0,*,CodeableConcept
AuditEvent.agent.who,1,1,Reference
AuditEvent.agent.requestor,0,1,boolean
AuditEvent.agent.location,0,1,Reference
AuditEvent.agent.policy,0,*,uri
AuditEvent.agent.network[x],0,1,Reference;uri;string
AuditEvent.agent.authorization,0,*,CodeableConcept
AuditEvent.source,1,1,BackboneElement
AuditEvent.source.id,0,1,http://hl7.org/fhirpath/System.String
AuditEvent.source.extension,0,*,Extension
AuditEvent.source.modifierExtension,0,*,Extension
AuditEvent.source.site,0,1,Reference
AuditEvent.source.observer,1,1,Reference
AuditEvent.source.type,0,*,CodeableConcept
AuditEvent.entity,0,*,BackboneElement
AuditEvent.entity.id,0,1,http://hl7.org/fhirpath/System.String
AuditEvent.entity.extension,0,*,Extension
AuditEvent.entity.modifierExtension,0,*,Extension
AuditEvent.entity.what,0,1,Reference
AuditEvent.entity.role,0,1,CodeableConcept
AuditEvent.entity.securityLabel,0,*,CodeableConcept
AuditEvent.entity.query,0,1,base64Binary
AuditEvent.entity.detail,0,*,BackboneElement
AuditEvent.entity.detail.id,0,1,http://hl7.org/fhirpath/System.String
AuditEvent.entity.detail.extension,0,*,Extension
AuditEvent.entity.detail.modifierExtension,0,*,Extension
AuditEvent.entity.detail.type,1,1,CodeableConcept
AuditEvent.entity.detail.value[x],1,1,Quantity;CodeableConcept;string;boolean;integer;Range;Ratio;time;dateTime;Period;base64Binary
